millis,label,ax,ay,az,gx,gy,gz
4168006,z,-0.2396,0.5124,1.1034,-51.0300,71.5400,25.9700
4168016,c,-0.2328,0.4973,1.1039,-47.9500,73.7100,33.1800
4168025,c,-0.2313,0.4812,1.1326,-44.5900,76.5100,41.0200
4168035,c,-0.2386,0.4743,1.1678,-40.9500,77.5600,46.9700
4168044,c,-0.2538,0.4763,1.1961,-35.4900,75.1800,50.0500
4168054,c,-0.2782,0.4792,1.2224,-30.4500,70.2100,51.7300
4168064,c,-0.3030,0.4817,1.2366,-29.8900,64.3300,53.3400
4168074,c,-0.3201,0.4787,1.2302,-35.6300,59.7100,55.6500
4168083,c,-0.3401,0.4612,1.2127,-43.4000,56.9800,59.2200
4168092,c,-0.3567,0.4392,1.1893,-50.8200,56.1400,63.6300
4168102,c,-0.3533,0.4124,1.1644,-55.5100,55.6500,67.4100
4168112,c,-0.3475,0.3865,1.1390,-54.7400,54.3200,69.8600
4168122,c,-0.3518,0.3748,1.1112,-49.2800,51.6600,71.1200
4168131,c,-0.3558,0.3792,1.1024,-40.1100,48.5800,71.3300
4168141,c,-0.3655,0.3845,1.1136,-30.8000,46.4100,71.8200
4168150,c,-0.3748,0.3836,1.1419,-23.6600,45.3600,73.6400
4168160,c,-0.3714,0.3762,1.1912,-22.8900,45.2900,76.3000
4168169,c,-0.3738,0.3567,1.2317,-26.2500,45.3600,81.8300
4168179,c,-0.3704,0.3387,1.2629,-30.6600,40.1100,82.8100
4168189,c,-0.3645,0.3260,1.2708,-37.1000,34.3700,83.0200
4168199,c,-0.3733,0.3148,1.2273,-31.7100,28.0700,82.6700
4168208,c,-0.3845,0.3152,1.1722,-31.7100,24.4300,82.6700
4168217,c,-0.3884,0.3255,1.1536,-7.4200,24.0800,83.8600
4168227,c,-0.3889,0.3411,1.2332,-0.9100,25.6200,85.6800
4168237,c,-0.3836,0.3802,1.3064,-4.4100,26.4600,87.4300
4168247,c,-0.3660,0.3855,1.3630,-15.9600,24.7800,89.6000
4168256,c,-0.3704,0.3875,1.3659,-32.5500,19.3200,93.1700
