millis,label,ax,ay,az,gx,gy,gz
669376,d,0.7364,-0.0166,0.7159,-5.9500,-1.1900,-0.2100
669386,d,0.7379,-0.0249,0.7086,-5.8100,-0.9800,2.5200
669396,d,0.7364,-0.0312,0.7047,-4.4100,-0.4900,4.4800
669406,d,0.7340,-0.0307,0.7125,-2.3100,0.0700,4.6900
669416,d,0.7315,-0.0303,0.7188,-1.0500,0.3500,0.6300
669425,d,0.7305,-0.0390,0.7164,-0.4200,-1.4000,-1.7500
669434,d,0.7320,-0.0464,0.7178,0.8400,-1.4000,-3.8500
669444,d,0.7305,-0.0400,0.7257,0.7000,-4.0600,-5.1800
669454,d,0.7286,-0.0366,0.7247,-0.4900,-5.0400,-5.6000
669463,d,0.7266,-0.0395,0.7154,1.2600,-5.8100,-4.9000
669473,d,0.7213,-0.0405,0.7096,3.5000,-5.9500,-3.5700
669483,d,0.7164,-0.0283,0.7130,3.1500,-5.4600,-2.1000
669492,d,0.7120,-0.0283,0.7071,1.0500,-4.4800,-0.8400
669501,d,0.7056,-0.0439,0.6964,0.1400,-3.6400,0.0000
669511,d,0.6900,-0.0493,0.6842,-0.1400,-2.7300,0.1400
669521,d,0.6812,-0.0537,0.6695,-1.1200,-2.1700,-0.7000
669531,d,0.6730,-0.0600,0.6525,-2.4500,-1.4700,-2.2400
669541,d,0.6617,-0.0664,0.6359,-3.0100,-0.4900,-4.3400
669550,d,0.6461,-0.0678,0.6178,-2.0300,0.8400,-6.6500
669559,d,0.6222,-0.0688,0.5890,1.0500,1.9600,-8.8200
669569,d,0.5861,-0.0673,0.5510,6.3700,1.9600,-10.4300
669579,d,0.5441,-0.0576,0.5095,12.4600,0.7700,-11.5500
669588,d,0.4982,-0.0483,0.4607,17.9200,-1.1200,-12.6000
669598,d,0.4465,-0.0381,0.3987,23.0300,-3.2200,-14.1400
669608,d,0.3909,-0.0283,0.3221,25.6200,-4.8300,-16.5200
669617,d,0.3192,-0.0200,0.2181,29.8200,-5.0400,-19.3900
669626,d,0.2240,-0.0029,0.0425,38.5000,-4.2700,-22.8900
669636,d,0.1435,0.0332,-0.1806,61.0400,-3.0100,-27.7200
669646,d,0.0913,0.0898,-0.3309,92.1200,6.7900,-29.5400
669656,d,0.0181,0.1606,-0.4573,110.2500,27.5800,-30.1000
669666,d,-0.0659,0.2240,-0.5924,110.0400,63.4900,-15.0500
669675,d,-0.1825,0.3406,-0.6329,67.9000,116.4800,-14.0000
669684,d,-0.1898,0.2342,-0.5119,-9.4500,168.1400,-4.9700
669694,d,-0.1913,-0.1142,-0.4436,-56.4200,245.3500,10.0800
669704,d,-0.3045,-0.3406,-0.4207,-63.9800,416.4300,14.5600
669713,d,-0.3680,-0.4470,-0.2206,-50.0500,507.9900,4.2000
669723,d,-0.5104,-0.4382,0.2547,-41.2300,585.4800,-22.4000
669733,d,-0.6515,-0.3475,0.7252,-9.7300,659.4000,-66.4300
669742,d,-0.7740,-0.1298,1.2249,21.4900,740.7400,-118.9300
669751,d,-0.9780,0.1425,1.4220,24.7800,785.1200,-174.8600
669761,d,-1.0116,0.1850,1.6548,11.2700,764.4700,-204.6100
669771,d,-1.5270,0.1757,1.8705,-78.8900,690.9000,-200.9700
669781,d,-1.5577,0.1240,2.0164,-157.4300,574.8400,-171.7100
669791,d,-1.2098,0.1620,2.2331,-214.9000,442.5400,-132.7200
669800,d,-0.9823,0.2572,2.3073,-219.6600,320.6000,-103.8100
669809,d,-0.9101,0.2313,2.1916,-190.1200,215.6000,-80.9200
669819,d,-0.8745,0.0156,2.0476,-119.1400,131.1800,-47.8100
669829,d,-0.8023,-0.1332,2.0145,-31.4300,66.5700,-4.4100
669838,d,-0.7335,-0.1152,2.0740,32.6900,26.8100,42.2800
669848,d,-0.7110,-0.0342,2.0457,54.9500,8.7500,82.8800
669858,d,-0.6588,-0.0337,2.0101,56.6300,4.9000,110.6000
669867,d,-0.5885,-0.1030,2.0106,44.5200,12.6000,125.9300
669876,d,-0.5583,-0.1645,1.9418,25.2700,22.8900,128.2400
669886,d,-0.5173,-0.2030,1.8778,8.9600,29.7500,117.3200
669896,d,-0.4929,-0.2220,1.8129,-6.2300,30.7300,95.8300
669906,d,-0.4812,-0.2469,1.7597,-14.0000,25.2700,67.5500
669916,d,-0.4753,-0.2547,1.7090,-14.8400,15.2600,38.9900
669925,d,-0.4773,-0.2513,1.6485,-11.6900,0.7700,-3.2900
669934,d,-0.4641,-0.2547,1.6026,-3.7800,-16.1000,-3.2900
669944,d,-0.4602,-0.2216,1.5396,5.0400,-33.3900,-16.4500
669954,d,-0.4446,-0.1654,1.4889,3.4300,-67.4100,-15.4700
669963,d,-0.4046,-0.1298,1.4620,-11.1300,-63.4200,-12.7400
669973,d,-0.3767,-0.1191,1.3942,-32.1300,-62.9300,-10.8500
669983,d,-0.3626,-0.1137,1.1893,-22.4000,-61.3900,-10.6400
669992,d,-0.3499,-0.0976,1.1893,-7.2800,-59.4300,-10.7800
670001,d,-0.3343,-0.0878,1.1732,7.7700,-57.5400,-9.7300
670011,d,-0.3226,-0.0888,1.1868,20.5100,-58.1700,-7.8400
670021,d,-0.3260,-0.0566,1.1902,24.9900,-63.4900,-5.5300
670031,d,-0.3567,-0.0468,1.2000,21.0000,-72.6600,-2.8000
670041,d,-0.3553,-0.0581,1.2215,10.7100,-82.6000,0.2100
670050,d,-0.3504,-0.0664,1.2215,0.5600,-91.0700,3.0100
670059,d,-0.3479,-0.0644,1.2102,-4.1300,-97.6500,4.2700
670069,d,-0.3489,-0.0586,1.1917,-3.1500,-102.2000,4.2000
670079,d,-0.3592,-0.0454,1.1312,4.2700,-106.4000,2.9400
670088,d,-0.3274,-0.0439,1.1312,23.3800,-110.3900,0.7000
670098,d,-0.2938,-0.0420,1.1922,39.4100,-111.9300,0.2800
670108,d,-0.3011,-0.0249,1.2054,44.5200,-114.2400,2.4500
670117,d,-0.2987,-0.0112,1.2195,39.7600,-119.3500,6.0200
670126,d,-0.2894,-0.0181,1.2488,29.1200,-125.3700,9.8700
670136,d,-0.2806,-0.0366,1.2795,16.5900,-131.4600,13.7200
670146,d,-0.2855,-0.0376,1.2976,-2.3100,-136.8500,16.4500
670156,d,-0.2889,-0.0366,1.2644,-21.4200,-141.4700,16.1000
670166,d,-0.2723,-0.0395,1.2078,-27.5800,-145.5300,11.6200
670175,d,-0.2489,-0.0327,1.1722,-20.1600,-148.2600,4.4800
670184,d,-0.2255,-0.0361,1.1414,-4.4800,-150.3600,-2.8700
670194,d,-0.1976,-0.0425,1.1175,18.5500,-153.7200,-8.1900
670204,d,-0.1674,-0.0239,1.1204,38.5000,-158.9700,-8.3300
670213,d,-0.1479,0.0107,1.1546,45.0800,-171.7100,-6.7200
670223,d,-0.1357,0.0449,1.1951,40.8100,-177.0300,-4.2000
670233,d,-0.1196,0.0508,1.1961,11.2700,-181.3700,-1.8200
670242,d,-0.0956,0.0342,1.1649,11.2700,-184.0300,-0.4200
670251,d,-0.0659,0.0224,1.1283,-1.4000,-185.4300,-0.3500
670261,d,-0.0366,0.0137,1.0634,0.2100,-186.3400,-0.9100
670271,d,-0.0156,-0.0112,1.0155,6.3700,-187.7400,-2.0300
670281,d,0.0015,-0.0283,0.9736,15.6800,-190.1200,-3.0800
