millis,label,ax,ay,az,gx,gy,gz
582159,0,0.2123,-0.1332,1.0268,6.5100,4.4800,-5.7400
582168,u,0.2103,-0.1147,1.0272,1.5400,3.6400,-6.7900
582178,u,0.2079,-0.1122,1.0243,-1.0500,2.5200,-7.0700
582188,u,0.2098,-0.1093,1.0258,-2.8700,1.8200,-6.5800
582198,u,0.2074,-0.1054,1.0224,-4.6200,1.4700,-5.2500
582208,u,0.2035,-0.1044,1.0092,-6.0200,1.1900,-3.5000
582216,u,0.2084,-0.1074,1.0014,-4.2700,1.0500,-2.1700
582226,u,0.2118,-0.1088,1.0058,-0.8400,1.6800,-1.2600
582236,u,0.2074,-0.1108,1.0033,2.3800,2.3800,-0.9100
582246,u,0.2064,-0.1098,1.0077,5.1100,2.4500,-1.0500
582255,u,0.2020,-0.1049,1.0106,4.1300,2.0300,-1.4000
582265,u,0.2001,-0.1015,1.0150,2.9400,1.3300,-1.9600
582275,u,0.2040,-0.1000,1.0277,-0.7000,1.1900,-2.2400
582284,u,0.2020,-0.1083,1.0243,-7.3500,1.4000,-1.6800
582293,u,0.1947,-0.1176,1.0063,-12.2500,1.8200,-0.3500
582303,u,0.1937,-0.1196,0.9945,-12.0400,2.3800,0.8400
582313,u,0.1913,-0.1186,0.9970,-7.3500,2.9400,1.2600
582323,u,0.1869,-0.1215,0.9975,-2.1700,2.8000,1.1900
582333,u,0.1864,-0.1244,0.9960,2.3800,0.9100,0.5600
582341,u,0.1840,-0.1244,0.9950,2.8000,-2.1700,0.5600
582351,u,0.1810,-0.1274,0.9858,1.7500,-5.5300,-1.6100
582361,u,0.1854,-0.1283,0.9858,2.7300,-7.4200,-2.7300
582371,u,0.1908,-0.1303,0.9950,0.0700,-4.9000,-3.3600
582380,u,0.1874,-0.1303,0.9892,-5.0400,-2.1000,-4.0600
582390,u,0.1854,-0.1225,0.9911,-3.7800,1.0500,-4.7600
582400,u,0.1903,-0.1161,0.9897,-2.9400,3.2200,-4.6900
582409,u,0.1918,-0.1122,0.9882,-3.2900,3.6400,-4.2000
582418,u,0.1937,-0.1093,0.9926,-6.0900,2.9400,-3.2200
582428,u,0.1952,-0.1093,0.9897,-8.9600,1.9600,-2.1700
582438,u,0.1962,-0.1161,0.9862,-7.3500,1.4000,-1.3300
582448,u,0.1952,-0.1137,0.9877,-4.0600,1.2600,-0.8400
582458,u,0.1957,-0.1113,0.9955,-0.2800,1.4700,-0.7000
582466,u,0.1952,-0.1103,1.0048,2.8700,1.6800,-0.5600
582476,u,0.1967,-0.1049,1.0175,3.6400,1.4000,-0.2100
582486,u,0.1962,-0.1039,1.0243,0.7700,0.8400,0.4900
582496,u,0.1908,-0.1030,1.0228,-2.3800,-0.1400,1.4700
582505,u,0.1874,-0.1059,1.0233,-7.0700,-1.0500,2.5900
582515,u,0.1854,-0.1176,1.0165,-10.3600,-1.1900,3.5700
582525,u,0.1835,-0.1269,1.0028,-10.3600,-0.7000,4.1300
582534,u,0.1859,-0.1274,1.0058,-7.2800,0.2100,3.9200
582543,u,0.1864,-0.1313,1.0131,-7.4900,1.6100,3.6400
582553,u,0.1810,-0.1391,0.9999,-7.2800,2.1700,3.5000
582563,u,0.1850,-0.1352,1.0048,-1.2600,1.6800,2.8700
582573,u,0.1879,-0.1274,1.0307,2.8700,0.8400,2.5200
582583,u,0.1825,-0.1298,1.0414,2.3800,-0.7000,2.9400
582591,u,0.1806,-0.1435,1.0438,-0.1400,-3.0100,4.1300
582601,u,0.1840,-0.1513,1.0507,-3.2900,-4.8300,5.5300
582611,u,0.1869,-0.1435,1.0575,-6.6500,-5.4600,5.1100
582621,u,0.1879,-0.1449,1.0482,-9.6600,-5.2500,3.6400
582630,u,0.1928,-0.1542,1.0350,11.2700,-5.3200,2.3800
