millis,label,ax,ay,az,gx,gy,gz
4254214,c,0.3133,-0.2572,0.9057,-0.0700,11.8300,14.2100
4254224,0,0.3133,-0.2552,0.9130,-2.1700,12.2500,14.3500
4254233,0,0.3118,-0.2611,0.9145,-1.4700,12.3200,14.9100
4254243,0,0.3138,-0.2655,0.9165,0.2100,12.2500,15.8900
4254252,0,0.3148,-0.2718,0.9213,2.3100,12.1100,17.5700
4254262,0,0.3138,-0.2786,0.9238,6.3700,12.2500,19.4600
4254272,0,0.3148,-0.2772,0.9218,12.2500,12.6000,21.8400
4254282,0,0.3123,-0.2655,0.9252,15.9600,13.3700,23.9400
4254291,0,0.3104,-0.2645,0.9311,16.5900,17.1500,26.3200
4254300,0,0.3065,-0.2635,0.9399,18.3400,17.1500,27.6500
4254310,0,0.2952,-0.2450,0.9540,17.0800,20.6500,27.5800
4254320,0,0.2884,-0.2377,0.9618,2.1700,22.4000,25.9700
4254330,0,0.2894,-0.2538,0.9565,-0.0700,24.0800,23.4500
4254339,0,0.2865,-0.2757,0.9589,0.7000,25.6200,20.3700
4254349,0,0.2835,-0.3021,0.9589,3.2200,26.8800,17.0800
4254358,0,0.2830,-0.3021,0.9618,7.9800,27.3000,13.3000
4254368,0,0.2786,-0.2952,0.9770,12.8800,26.8800,9.5200
4254377,0,0.2689,-0.2904,0.9872,18.6900,25.4100,6.3000
4254387,0,0.2660,-0.3011,0.9736,28.2800,23.1700,4.5500
4254397,0,0.2601,-0.3104,0.9575,45.7100,19.8100,3.8500
4254407,0,0.2723,-0.2879,0.9784,60.2000,16.3100,3.7100
4254416,0,0.2874,-0.2538,1.0116,70.7700,14.0700,4.0600
4254425,0,0.2616,-0.2372,1.0189,73.5700,11.6900,5.7400
4254435,0,0.2572,-0.2357,1.0189,68.6000,8.2600,8.4000
4254445,0,0.2889,-0.2206,1.0472,62.9300,5.1100,11.4800
4254455,0,0.2704,-0.2176,1.0355,47.1100,4.7600,16.5200
4254464,0,0.2352,-0.2167,1.0136,43.3300,5.4600,21.1400
4254474,0,0.2450,-0.1830,1.0302,39.6200,6.7200,24.1500
4254483,0,0.2621,-0.1654,1.0253,37.1000,7.8400,24.9900
4254493,0,0.2562,-0.1542,1.0121,40.8800,9.0300,23.8000
4254502,0,0.2362,-0.1342,0.9989,41.5800,9.0300,22.1900
4254512,0,0.2313,-0.1322,0.9936,35.1400,7.7000,23.4500
4254522,0,0.2318,-0.1449,0.9833,29.6100,5.4600,22.3300
4254532,0,0.2298,-0.1527,0.9780,28.4200,2.7300,19.4600
4254541,0,0.2318,-0.1503,0.9804,27.5100,-17.7800,17.4300
4254550,0,0.2284,-0.1493,0.9770,26.1100,-2.5200,15.1200
4254560,0,0.2259,-0.1415,0.9799,26.7400,-7.4900,13.1600
4254570,0,0.2269,-0.1230,0.9882,25.6900,-9.5900,10.7800
4254580,0,0.2313,-0.1147,0.9931,22.3300,-11.2000,8.6800
4254589,0,0.2342,-0.1132,1.0019,22.8200,-12.3200,5.8800
4254599,0,0.2342,-0.1020,1.0126,22.8900,-12.6000,2.1700
4254608,0,0.2396,-0.0810,1.0199,21.3500,-12.1100,-2.1700
4254618,0,0.2450,-0.0503,1.0155,13.1600,-11.4800,-7.0700
4254627,0,0.2430,-0.0078,1.0087,-0.4200,-11.5500,-13.8600
4254637,0,0.2377,-0.0517,0.9994,-13.4400,-11.8300,-21.8400
4254647,0,0.2352,-0.1215,0.9833,-16.4500,-12.1800,-30.6600
4254657,0,0.2362,-0.1508,0.9721,-9.8700,-12.7400,-37.3800
4254666,0,0.2357,-0.1488,0.9745,-0.2800,-13.8600,-41.6500
4254675,0,0.2396,-0.1410,0.9916,5.0400,-15.3300,-44.8000
4254685,0,0.2494,-0.1279,1.0121,6.7900,-16.5200,-45.3600
4254695,0,0.2552,-0.1200,1.0209,6.7900,-17.2200,-44.2400
4254705,0,0.2547,-0.1078,1.0209,7.7000,-17.5700,-41.6500
4254714,0,0.2567,-0.0874,1.0185,7.9100,-17.5000,-38.0100
4254724,0,0.2606,-0.0756,1.0126,8.1900,-17.0800,-33.6700
4254733,0,0.2645,-0.0727,1.0028,8.7500,-16.3800,-28.5600
4254743,0,0.2699,-0.0708,0.9906,8.9600,-15.2600,-22.8900
4254752,0,0.2796,-0.0581,0.9789,5.5300,-14.0700,-17.9200
4254762,0,0.3260,-0.0756,0.9614,-2.9400,-11.5500,-15.1200
4254772,0,0.3367,-0.0639,0.9584,-3.5000,-7.4200,-13.2300
4254782,0,0.2621,-0.0312,0.9731,-4.6200,-3.2900,-11.1300
4254791,0,0.2167,-0.0449,0.9809,-8.5400,1.1200,-12.2500
4254800,0,0.2435,-0.0615,0.9794,-14.2100,4.7600,-12.2500
4254810,0,0.2791,-0.0805,0.9706,-16.9400,7.3500,-14.7700
4254820,0,0.2830,-0.0908,0.9667,-16.3800,9.9400,-16.1700
4254830,0,0.2674,-0.0849,0.9706,-14.9800,9.9400,-17.5000
4254839,0,0.2552,-0.0791,0.9755,-13.7200,8.7500,-18.4100
4254849,0,0.2474,-0.0786,0.9770,-15.8900,5.7400,-19.2500
4254858,0,0.2342,-0.0600,0.9770,-26.4600,1.0500,-21.2100
4254868,0,0.2245,-0.0605,0.9858,-31.1500,-3.7100,-24.2900
4254877,0,0.2313,-0.1200,0.9892,-27.8600,-7.9800,-27.2300
4254887,0,0.2391,-0.1322,0.9984,-26.8800,-11.9700,-29.7500
4254897,0,0.2489,-0.1488,1.0072,-23.5200,-15.0500,-31.7100
4254907,0,0.2577,-0.1591,1.0150,-22.6800,-17.3600,-32.9000
4254916,0,0.2625,-0.1649,1.0150,-22.4700,-18.8300,-33.0400
4254925,0,0.2650,-0.1693,1.0067,-22.7500,-19.4600,-32.6200
4254935,0,0.2723,-0.1723,0.9980,-19.8800,-19.1100,-31.3600
4254945,0,0.2830,-0.1771,0.9892,-17.8500,-18.1300,-29.2600
4254955,0,0.2938,-0.1850,0.9799,-11.4100,-16.5900,-27.0900
4254964,0,0.2943,-0.1718,0.9804,-4.6900,-14.5600,-25.0600
4254974,0,0.2869,-0.1523,0.9872,-2.8700,-12.1800,-22.6100
4254983,0,0.2840,-0.1503,0.9867,-4.5500,-9.8000,-19.9500
4254993,0,0.2879,-0.1552,0.9838,-5.3200,-7.4900,-17.0100
4255002,0,0.2928,-0.1576,0.9804,-7.2100,-5.8800,-14.4900
4255012,0,0.2943,-0.1620,0.9706,-7.2100,-4.8300,-13.2300
4255022,0,0.2938,-0.1596,0.9658,-6.0200,-4.4800,-12.8100
4255032,0,0.2918,-0.1615,0.9633,-5.8100,-4.0600,-12.3200
4255041,0,0.2923,-0.1664,0.9584,-3.2900,-3.6400,-12.4600
4255050,0,0.2967,-0.1601,0.9623,0.2800,-3.1500,-12.8800
4255060,0,0.2913,-0.1459,0.9731,0.1400,-2.7300,-12.7400
4255070,0,0.2840,-0.1405,0.9721,-2.3100,-2.5200,-13.0900
4255080,0,0.2845,-0.1469,0.9643,-3.2900,-3.6400,-13.4400
4255089,0,0.2874,-0.1503,0.9618,-2.0300,-4.4100,-13.6500
4255099,0,0.2884,-0.1547,0.9609,0.7000,-4.9000,-13.9300
4255108,0,0.2923,-0.1571,0.9594,2.8700,-5.1800,-13.6500
4255118,0,0.2923,-0.1503,0.9623,3.5000,-5.2500,-12.8100
4255127,0,0.2918,-0.1498,0.9653,4.4800,-5.1100,-11.4800
4255137,0,0.2948,-0.1337,0.9740,1.8200,-4.7600,-9.7300
4255147,0,0.2918,-0.1371,0.9775,-2.2400,-4.0600,-8.1200
4255157,0,0.2952,-0.1449,0.9750,-2.5900,-3.2200,-6.9300
4255166,0,0.2957,-0.1444,0.9789,-2.7300,-2.3100,-5.9500
4255175,0,0.2948,-0.1474,0.9823,-3.5700,-1.4000,-5.2500
4255185,0,0.2952,-0.1484,0.9823,-3.2900,-0.8400,-4.9700
4255195,0,0.2957,-0.1488,0.9799,-3.8500,-0.7700,-4.9000
4255205,0,0.3006,-0.1518,0.9760,-3.6400,-1.1200,-4.6200
4255214,0,0.3006,-0.1503,0.9726,-3.0800,-2.0300,-4.3400
4255224,0,0.2972,-0.1537,0.9687,-0.9800,-2.9400,-4.4100
4255233,0,0.2987,-0.1547,0.9692,2.5200,-3.5700,-4.2700
4255243,0,0.2962,-0.1464,0.9794,5.0400,-3.7100,-4.1300
4255252,0,0.2948,-0.1391,0.9911,4.2000,-3.1500,-3.9200
4255262,0,0.2987,-0.1386,0.9941,2.1700,-2.3100,-3.5700
4255272,0,0.2996,-0.1405,0.9892,0.6300,-1.6100,-3.2200
4255282,0,0.2977,-0.1401,0.9862,0.5600,-1.1200,-2.8000
4255291,0,0.2952,-0.1381,0.9867,0.8400,-0.7700,-2.6600
4255300,0,0.2913,-0.1376,0.9867,1.5400,-0.5600,-2.5200
4255310,0,0.2894,-0.1342,0.9872,2.2400,-0.6300,-2.3800
4255320,0,0.2889,-0.1357,0.9853,2.3800,-1.0500,-2.3800
4255330,0,0.2904,-0.1405,0.9794,2.7300,-1.5400,-2.4500
4255339,0,0.2899,-0.1396,0.9745,4.9000,-3.1500,-2.8700
4255349,0,0.2879,-0.1366,0.9745,6.0200,-3.3600,-2.6600
4255358,0,0.2869,-0.1357,0.9770,6.0200,-3.0100,-2.5200
4255368,0,0.2879,-0.1376,0.9809,5.9500,-2.0300,-2.1700
4255377,0,0.2874,-0.1386,0.9862,5.7400,-0.9800,-1.6800
4255387,0,0.2845,-0.1386,0.9872,5.7400,0.2100,-1.3300
4255397,0,0.2845,-0.1435,0.9941,5.1800,1.6100,-0.7700
4255407,0,0.2826,-0.1425,1.0024,4.9000,2.8700,-0.4900
4255416,0,0.2826,-0.1337,1.0067,3.9200,4.0600,0.0700
4255425,0,0.2713,-0.1318,1.0063,1.1200,4.7600,0.4200
4255435,0,0.2689,-0.1386,1.0028,0.0700,4.9700,0.2100
4255445,0,0.2679,-0.1410,1.0004,0.5600,4.6200,-1.0500
4255455,0,0.2679,-0.1401,0.9989,1.5400,3.9900,-2.4500
4255464,0,0.2640,-0.1332,0.9980,2.6600,3.2900,-3.9200
4255474,0,0.2606,-0.1259,0.9960,2.5200,2.3100,-5.3200
4255483,0,0.2630,-0.1235,0.9892,2.3800,0.9100,-6.5100
4255493,0,0.2640,-0.1205,0.9833,3.7800,-0.7000,-7.2800
4255502,0,0.2650,-0.1147,0.9814,5.3200,-2.1700,-7.4900
4255512,0,0.2664,-0.1108,0.9780,5.6700,-3.4300,-7.0000
4255522,0,0.2718,-0.1113,0.9731,6.4400,-4.3400,-6.5800
4255532,0,0.2762,-0.1093,0.9706,8.7500,-4.7600,-6.5100
4255541,0,0.2733,-0.1030,0.9721,10.0800,-4.8300,-6.7200
4255550,0,0.2752,-0.1054,0.9721,9.6600,-4.4100,-7.2800
4255560,0,0.2801,-0.1093,0.9721,10.2900,-3.8500,-8.4000
4255570,0,0.2786,-0.1035,0.9789,10.7100,-3.2200,-9.8700
4255580,0,0.2796,-0.1015,0.9853,9.1000,-2.3800,-11.1300
4255589,0,0.2801,-0.1039,0.9862,6.8600,-1.6800,-11.0600
4255599,0,0.2791,-0.1025,0.9833,5.6700,-0.9100,-10.6400
4255608,0,0.2796,-0.0991,0.9799,4.8300,-0.9100,-10.1500
4255618,0,0.2806,-0.0986,0.9775,4.4800,-0.6300,-9.9400
4255627,0,0.2835,-0.0996,0.9745,6.6500,-0.4900,-10.1500
4255637,0,0.2874,-0.0971,0.9731,7.0700,-0.2800,-10.2900
4255647,0,0.2908,-0.0927,0.9740,6.9300,-0.1400,-10.2200
4255657,0,0.2933,-0.0815,0.9770,6.2300,0.1400,-10.0800
4255666,0,0.2933,-0.0815,0.9794,6.3700,0.3500,-9.8000
4255675,0,0.2894,-0.0737,0.9794,6.8600,0.3500,-9.5900
4255685,0,0.2850,-0.0708,0.9828,8.1900,0.0700,-9.4500
4255695,0,0.2869,-0.0644,0.9902,8.5400,-0.2800,-9.2400
4255705,0,0.2874,-0.0605,0.9936,8.0500,-0.5600,-8.8200
4255714,0,0.2874,-0.0610,0.9892,7.4900,-1.1900,-8.0500
4255724,0,0.2845,-0.0561,0.9828,7.4200,-1.8900,-7.0700
4255733,0,0.2796,-0.0488,0.9804,7.0700,-2.7300,-6.6500
4255743,0,0.2796,-0.0459,0.9770,7.1400,-3.3600,-6.8600
4255752,0,0.2791,-0.0464,0.9716,8.1200,-4.1300,-7.4200
4255762,0,0.2762,-0.0468,0.9682,9.8700,-4.6900,-8.1200
4255772,0,0.2752,-0.0434,0.9721,11.3400,-5.1100,-8.5400
4255782,0,0.2752,-0.0390,0.9775,11.5500,-5.0400,-8.7500
4255791,0,0.2713,-0.0351,0.9780,10.3600,-4.8300,-8.6100
4255800,0,0.2679,-0.0371,0.9740,9.8700,-4.5500,-8.5400
4255810,0,0.2704,-0.0400,0.9716,11.4800,-4.1300,-8.8200
4255820,0,0.2694,-0.0366,0.9740,13.5100,-3.7800,-9.3800
4255830,0,0.2684,-0.0312,0.9784,14.9100,-3.4300,-10.0800
4255839,0,0.2650,-0.0259,0.9799,16.0300,-3.2900,-10.7100
4255849,0,0.2582,-0.0205,0.9799,16.0300,-3.4300,-11.0600
4255858,0,0.2601,-0.0151,0.9843,15.4700,-3.4300,-11.5500
4255868,0,0.2625,-0.0078,0.9926,14.4200,-2.3800,-11.7600
4255877,0,0.2655,-0.0010,0.9984,12.6000,-1.8200,-11.5500
4255887,0,0.2689,0.0015,0.9980,9.2400,-1.6800,-10.6400
4255897,0,0.2660,0.0029,0.9926,8.5400,-1.7500,-9.3100
4255907,0,0.2630,0.0127,0.9931,8.7500,-1.9600,-8.0500
4255916,0,0.2635,0.0127,0.9887,9.3100,-2.3800,-6.9300
4255925,0,0.2616,0.0059,0.9823,11.2000,-2.7300,-5.8800
4255935,0,0.2601,0.0029,0.9823,14.2800,-2.8700,-5.2500
4255945,0,0.2640,0.0083,0.9897,15.7500,-2.3800,-4.7600
4255955,0,0.2635,0.0142,0.9989,15.0500,-1.5400,-4.8300
4255964,0,0.2625,0.0210,1.0038,12.9500,-0.7000,-4.9000
4255974,0,0.2616,0.0249,1.0014,8.7500,-0.2800,-4.4800
4255983,0,0.2630,0.0224,0.9921,4.4800,-0.1400,-3.7100
4255993,0,0.2630,0.0185,0.9780,1.4700,-0.2800,-2.5200
4256002,0,0.2616,0.0151,0.9643,1.3300,-0.3500,-1.5400
4256012,0,0.2630,0.0142,0.9584,2.9400,-0.3500,-1.0500
4256022,0,0.2650,0.0142,0.9560,4.6200,-0.2800,-0.7000
4256032,0,0.2640,0.0132,0.9536,6.3000,-0.2800,-0.5600
4256041,0,0.2640,0.0132,0.9516,8.1900,-0.4200,-0.7000
4256050,0,0.2660,0.0166,0.9540,9.6600,-0.9100,-1.1900
4256060,0,0.2674,0.0176,0.9599,10.2900,-1.2600,-1.8900
4256070,0,0.2738,0.0127,0.9618,11.4100,-0.9800,-2.6600
4256080,0,0.2777,0.0166,0.9623,14.2100,-0.2800,-3.5000
4256089,0,0.2772,0.0268,0.9667,15.8200,0.6300,-4.4100
4256099,0,0.2762,0.0342,0.9750,14.9800,1.4700,-4.6900
4256108,0,0.2747,0.0400,0.9848,13.2300,2.4500,-4.6900
4256118,0,0.2757,0.0415,0.9926,11.3400,3.8500,-2.6600
4256127,0,0.2752,0.0425,0.9984,11.5500,7.9800,-1.0500
4256137,0,0.2708,0.0517,1.0048,13.0200,10.1500,0.7000
4256147,0,0.2738,0.0634,1.0082,11.4800,11.9000,2.8700
4256157,0,0.2796,0.0659,1.0053,10.2900,13.0200,5.1800
4256166,0,0.2738,0.0678,1.0053,8.8900,13.5100,7.4900
4256175,0,0.2650,0.0703,1.0141,8.3300,13.7900,9.5900
4256185,0,0.2616,0.0688,1.0111,8.4700,13.6500,11.1300
4256195,0,0.2508,0.0683,1.0175,8.1200,13.5100,12.3200
4256205,0,0.2494,0.0669,1.0165,5.0400,13.1600,13.9300
4256214,0,0.2518,0.0547,1.0053,3.4300,12.1800,14.7700
4256224,0,0.2464,0.0527,1.0028,6.4400,10.7800,14.2800
4256233,0,0.2420,0.0576,1.0058,8.2600,8.9600,14.2100
4256243,0,0.2323,0.0581,1.0053,10.4300,7.0700,13.7900
4256252,0,0.2245,0.0630,1.0033,11.5500,5.2500,13.0900
4256262,0,0.2342,0.0639,1.0004,11.6900,3.9200,11.9000
4256272,0,0.2445,0.0654,1.0028,11.3400,3.1500,11.2000
4256282,0,0.2445,0.0678,1.0077,9.9400,3.4300,11.6200
4256291,0,0.2377,0.0630,0.9975,10.1500,4.3400,12.1100
4256300,0,0.2333,0.0634,0.9882,12.1800,4.9000,12.5300
4256310,0,0.2347,0.0644,0.9882,13.7900,5.4600,13.0900
4256320,0,0.2342,0.0605,0.9882,15.5400,5.8100,13.9300
4256330,0,0.2338,0.0566,0.9819,18.3400,5.9500,14.5600
4256339,0,0.2411,0.0752,0.9858,21.4200,5.5300,14.8400
4256349,0,0.2294,0.0834,0.9984,17.5700,4.7600,14.2800
4256358,0,0.2201,0.0561,0.9955,15.1200,4.4100,14.7000
4256368,0,0.2269,0.0420,0.9858,15.6800,3.4300,15.6800
4256377,0,0.2133,0.0454,0.9804,19.2500,1.6800,15.6100
4256387,0,0.2020,0.0527,0.9755,24.2900,-1.8200,14.4900
4256397,0,0.2157,0.0664,0.9697,35.4200,-3.0800,13.3000
4256407,0,0.2298,0.0756,0.9765,39.4800,-3.2900,13.0200
4256416,0,0.2235,0.0664,0.9784,44.1700,-2.7300,13.6500
4256425,0,0.2152,0.0786,0.9721,42.1400,-1.8200,15.0500
4256435,0,0.2196,0.1147,0.9984,27.7200,0.2800,17.5000
4256445,0,0.2206,0.1122,0.9867,23.5200,3.3600,18.8300
4256455,0,0.2391,0.1313,0.9843,18.2700,6.1600,19.6700
4256464,0,0.2303,0.1122,0.9828,6.8600,7.9800,20.0200
4256474,0,0.2318,0.0830,0.9760,4.2000,8.7500,20.1600
4256483,0,0.2245,0.0859,0.9814,3.7800,7.6300,20.1600
4256493,0,0.2020,0.1059,0.9980,-0.4200,5.6000,19.7400
4256502,0,0.2035,0.0976,0.9862,-0.7000,3.2200,18.1300
4256512,0,0.2230,0.0747,0.9677,15.4000,0.7000,15.6800
4256522,0,0.2338,0.0800,0.9701,34.0200,-2.7300,13.5800
4256532,0,0.2186,0.0874,0.9911,42.8400,-7.4200,13.2300
4256541,0,0.2279,0.0810,1.0087,51.2400,-11.4800,14.6300
4256550,0,0.2503,0.0883,1.0214,65.1700,-14.4900,18.0600
4256560,0,0.2323,0.1181,1.0443,68.4600,-17.0800,22.5400
4256570,0,0.2181,0.1474,1.0375,58.1000,-19.8800,25.9000
4256580,0,0.2235,0.1669,1.0238,47.0400,-23.1000,28.3500
4256589,0,0.2513,0.1737,1.0243,34.7900,-25.7600,30.5900
4256599,0,0.2757,0.1810,0.9862,26.8100,-29.6100,32.9000
4256608,0,0.2479,0.1742,0.9384,22.8900,-37.1000,35.1400
4256618,0,0.2176,0.1518,0.9379,21.6300,-45.7100,38.7100
4256627,0,0.2264,0.1435,0.9579,25.9700,-53.6900,45.5000
4256637,0,0.2499,0.1425,0.9950,31.7100,-60.1300,48.0200
4256647,0,0.2835,0.1630,1.0282,34.5100,-68.3900,49.7700
4256657,0,0.2972,0.1796,1.0233,23.5900,-71.8900,50.1200
4256666,0,0.2908,0.1688,0.9960,23.5900,-73.4300,49.4900
4256675,0,0.3016,0.1596,0.9848,28.2800,-72.2400,47.4600
4256685,0,0.3192,0.1625,0.9726,30.3800,-68.3200,44.1700
4256695,0,0.3436,0.1679,0.9506,34.9300,-63.0700,39.5500
4256705,0,0.3587,0.1825,0.9331,36.8200,-57.1900,34.0900
4256714,0,0.3714,0.1786,0.9170,39.7600,-50.6800,28.4200
4256724,0,0.3767,0.1864,0.9179,41.0200,-44.8000,23.1700
4256733,0,0.3894,0.1850,0.9389,36.4000,-38.3600,18.3400
4256743,0,0.4031,0.1884,0.9467,29.6800,-31.9900,13.4400
4256752,0,0.3963,0.1874,0.9428,18.4800,-26.7400,8.7500
4256762,0,0.3982,0.1967,0.9428,15.5400,-23.1700,6.3000
4256772,0,0.3967,0.2118,0.9365,9.9400,-22.3300,5.3900
4256782,0,0.3875,0.1913,0.9243,4.7600,-23.0300,4.2000
4256791,0,0.3875,0.1771,0.9150,5.6000,-24.4300,2.8000
4256800,0,0.3894,0.1806,0.9082,9.2400,-25.4100,1.6100
4256810,0,0.3928,0.1986,0.9033,13.2300,-25.5500,0.6300
4256820,0,0.3953,0.2196,0.9057,12.5300,-24.8500,-0.3500
4256830,0,0.4006,0.2240,0.9189,7.3500,-22.8900,-0.8400
4256839,0,0.4187,0.2108,0.9301,0.1400,-19.4600,-0.9800
4256849,0,0.4304,0.2094,0.9209,-1.6100,-15.5400,-0.6300
4256858,0,0.4124,0.2167,0.8891,-5.7400,-13.2300,0.8400
4256868,0,0.3865,0.2064,0.8540,-3.8500,-12.3200,2.8700
4256877,0,0.3997,0.2338,0.8564,3.3600,-12.4600,5.1100
4256887,0,0.4202,0.2406,0.8843,-3.1500,-13.3700,9.7300
4256897,0,0.4343,0.2045,0.9004,0.7000,-13.3000,12.6700
4256907,0,0.4392,0.1752,0.9106,0.6300,-14.4900,15.4700
4256916,0,0.4241,0.1264,0.9087,0.2100,-14.4900,17.9900
4256925,0,0.4060,0.1093,0.9111,1.5400,-19.3900,19.3200
4256935,0,0.4055,0.1279,0.9223,-25.9700,-21.4900,18.5500
4256945,0,0.4148,0.1664,0.9687,-45.9200,-21.4900,16.2400
4256955,0,0.4441,0.2142,0.9223,-48.9300,-21.4900,12.6700
4256964,0,0.4704,0.2333,0.9140,-41.4400,-21.4200,7.9100
4256974,0,0.4509,0.2098,0.9252,-33.1800,-21.1400,3.1500
4256983,0,0.4509,0.1874,0.9184,-32.0600,-21.3500,0.0000
4256993,0,0.4480,0.1654,0.8779,-31.9200,-21.1400,-1.4700
4257002,0,0.4407,0.1542,0.8394,-21.0700,-22.0500,-2.5200
4257012,0,0.4421,0.1620,0.8428,-7.9800,-22.2600,-3.7100
4257022,0,0.4660,0.1610,0.8764,-3.0100,-21.6300,-4.4100
4257032,0,0.4851,0.1562,0.9121,-5.5300,-19.9500,-3.2900
4257041,0,0.4880,0.1298,0.9189,-20.3700,-17.4300,-1.0500
4257050,0,0.4826,0.0849,0.9008,-24.7800,-14.0700,1.5400
4257060,0,0.4641,0.0737,0.9018,-24.4300,-11.9700,5.2500
4257070,0,0.4680,0.1044,0.9394,-31.5000,-9.1000,9.0300
4257080,0,0.5022,0.1513,0.9721,-46.4800,-5.9500,11.4800
4257089,0,0.5007,0.1513,0.9633,-58.5200,-3.8500,12.5300
4257098,0,0.4763,0.1088,0.9272,-60.8300,-1.9600,12.6700
4257108,0,0.4626,0.0874,0.9008,-54.6000,-0.9800,13.0900
4257118,0,0.4670,0.0903,0.9013,-52.2900,-0.6300,13.7200
4257127,0,0.4870,0.0869,0.9023,-49.5600,-1.4000,13.4400
4257137,0,0.4690,0.0820,0.8862,-49.3500,-4.0600,14.3500
4257147,0,0.4412,0.0683,0.8594,-53.9000,-7.4900,14.8400
4257157,0,0.4475,0.0571,0.8530,-49.9800,-12.8800,14.2100
4257166,0,0.4768,0.0532,0.8818,-40.9500,-12.8800,13.0900
4257175,0,0.4929,0.0429,0.9048,-30.3100,-15.8200,11.9700
4257185,0,0.4704,0.0342,0.9101,-3.1500,-16.9400,10.7100
4257195,0,0.4763,0.0625,0.9252,-20.0900,-18.2000,9.0300
4257205,0,0.4982,0.0908,0.8823,-19.1100,-19.3200,6.8600
4257214,0,0.4812,0.0503,0.8530,-11.7600,-19.8100,5.3200
4257223,0,0.4646,0.0503,0.8638,-3.2200,-19.2500,4.9700
4257233,0,0.4787,0.0512,0.8867,-1.8900,-19.0400,5.1800
4257243,0,0.6222,0.0298,0.9130,-5.0400,-18.5500,6.0900
4257252,0,0.5051,-0.0015,0.9287,-8.7500,-16.9400,7.6300
4257262,0,0.5046,0.0034,0.9321,-7.9100,-14.6300,8.5400
4257272,0,0.5226,0.0322,0.9628,-11.2000,-10.7100,8.2600
4257282,0,0.5344,0.0420,0.9697,-21.8400,-4.9000,7.0700
4257291,0,0.5119,0.0395,0.9331,-26.5300,0.4900,4.9000
4257300,0,0.5036,0.0488,0.9189,-30.1700,6.0900,2.0300
4257310,0,0.5187,0.0488,0.9252,-35.4200,11.6900,-1.5400
4257320,0,0.5090,0.0356,0.9150,-39.8300,16.1000,-5.3900
4257330,0,0.4875,0.0503,0.9018,-36.2600,18.3400,-9.3800
4257339,0,0.4860,0.0732,0.8974,-32.0600,19.8800,-14.9800
4257348,0,0.4724,0.0439,0.8828,-34.2300,19.8100,-20.0900
4257358,0,0.4504,-0.0185,0.8789,-32.2000,17.9900,-23.8700
4257368,0,0.4494,-0.0478,0.8940,-26.0400,15.0500,-25.4100
