millis,label,ax,ay,az,gx,gy,gz
1037266,t,-0.1357,0.2611,0.9062,23.1000,-15.8200,13.5100
1037276,t,-0.1547,0.2650,0.9213,20.2300,-16.8000,4.7600
1037285,t,-0.1728,0.3582,0.9384,3.2200,-12.9500,4.7600
1037294,t,-0.1962,0.4412,0.9365,-14.7000,-6.5800,-6.0900
1037304,t,-0.1781,0.4392,0.9199,-14.6300,2.0300,-1.8200
1037314,t,-0.1742,0.3670,0.8955,32.1300,1.3300,7.8400
1037324,t,-0.1771,0.3001,0.9306,29.1200,-0.2100,17.1500
1037333,t,-0.1625,0.2616,1.0038,27.7900,-2.4500,20.2300
1037343,t,-0.1625,0.2362,1.0243,34.6500,-4.5500,14.6300
1037352,t,-0.1464,0.2362,1.0375,34.0200,-6.3000,5.6000
1037362,t,-0.1503,0.3109,1.0243,22.6100,-8.3300,-1.1200
1037372,t,-0.1625,0.3284,0.9965,17.0100,-8.9600,-3.4300
1037381,t,-0.1596,0.3123,0.9526,15.0500,-8.4700,-0.3500
1037391,t,-0.1645,0.2723,0.9482,15.7500,-6.7900,5.1800
1037401,t,-0.1703,0.2411,1.0087,18.5500,-2.8000,8.7500
1037410,t,-0.1723,0.2362,1.0385,11.0600,0.8400,7.9100
1037419,t,-0.1645,0.2499,1.0106,3.8500,-0.1400,2.5900
1037429,t,-0.1508,0.2806,0.9809,-1.5400,-4.6200,-3.9900
1037439,t,-0.1557,0.2987,0.9404,-4.0600,-8.5400,-7.4200
1037449,t,-0.1562,0.2948,0.9126,1.0500,-9.8000,-5.1800
1037458,t,-0.1586,0.2762,0.9130,8.1900,-7.3500,1.2600
1037468,t,-0.1547,0.2377,0.9340,16.1700,-3.0100,7.6300
1037477,t,-0.1484,0.2064,1.0014,18.1300,0.8400,10.4300
1037487,t,-0.1693,0.1967,1.0594,12.4600,2.3100,8.1200
1037497,t,-0.1825,0.2294,1.0707,6.4400,-0.6300,1.8900
1037506,t,-0.1737,0.2894,1.0521,-3.0100,-6.5800,-5.7400
1037516,t,-0.1601,0.3265,0.9897,-14.7000,-12.5300,-9.5200
1037526,t,-0.1552,0.3231,0.9184,-16.5900,-15.6100,10.6400
1037535,t,-0.1645,0.2874,0.8891,-9.6600,-13.7900,0.3500
1037544,t,-0.1684,0.2235,0.8891,-3.9900,-7.9100,9.8700
1037554,t,-0.1493,0.1576,0.9096,6.4400,-1.7500,14.3500
1037564,t,-0.1371,0.1459,0.9589,11.1300,1.9600,5.6000
1037574,t,-0.1576,0.1810,0.9984,5.0400,-1.6800,-6.3700
1037583,t,-0.1801,0.2313,1.0146,1.0500,-5.7400,-15.1900
1037593,t,-0.1840,0.2806,1.0204,-4.6200,-7.6300,-17.0800
1037602,t,-0.1732,0.3206,0.8955,-12.1800,-8.1900,-12.3900
1037612,t,-0.1679,0.3387,0.9213,-9.5900,-7.9800,-4.5500
1037622,t,-0.1806,0.2918,0.9121,-0.3500,-6.7200,3.0100
1037631,t,-0.1723,0.2440,0.9062,9.4500,-5.3200,7.7000
1037641,t,-0.1806,0.2030,0.9194,17.4300,-5.2500,8.0500
1037651,t,-0.2225,0.2123,0.9711,25.9700,-5.9500,3.9900
1037660,t,-0.2582,0.2811,1.0438,24.1500,-6.7900,-2.7300
1037669,t,-0.2899,0.3572,1.1073,12.6000,-7.7000,-9.1700
1037679,t,-0.3372,0.3914,1.1361,0.0000,-9.5200,-11.3400
1037689,t,-0.3123,0.3665,1.1297,-7.9800,-14.0000,-7.7700
1037699,t,-0.2420,0.3143,1.0990,-20.3000,-21.4900,-0.1400
1037708,t,-0.2396,0.2694,1.0375,-28.7000,-29.6100,5.3900
1037718,t,-0.2801,0.2264,0.9638,-20.2300,-36.6800,5.1100
1037727,t,-0.3231,0.1972,0.9238,-4.4800,-41.7200,1.5400
1037737,t,-0.3670,0.2298,0.9350,2.3800,-44.1000,-2.6600
1037747,t,-0.4099,0.3182,0.9526,-7.7000,-44.5900,-8.1200
1037756,t,-0.4343,0.3836,0.9306,-23.2400,-45.5000,-13.6500
1037766,t,-0.4631,0.4080,0.9067,-31.0100,-48.7900,-16.4500
1037776,t,-0.4934,0.3992,0.9062,-35.1400,-53.5500,-14.4200
1037785,t,-0.5173,0.3484,0.9057,-40.1100,-59.6400,-7.5600
1037794,t,-0.5124,0.2826,0.8984,-47.3200,-67.6900,1.2600
1037804,t,-0.4494,0.2406,0.8608,-56.0700,-76.5800,6.6500
1037814,t,-0.4080,0.2211,0.8032,-55.9300,-102.6200,0.3500
1037824,t,-0.4075,0.2176,0.7876,-43.5400,-92.3300,-7.5600
1037833,t,-0.4333,0.2396,0.7964,-27.5800,-93.7300,-14.4900
1037843,t,-0.4900,0.2660,0.8677,-15.6100,-95.4100,-19.8800
1037852,t,-0.5627,0.3284,0.8677,-13.4400,-97.5800,-23.4500
1037862,t,-0.6495,0.4104,0.9945,-14.7700,-100.6600,-23.8000
1037872,t,-0.7100,0.4455,1.0238,-24.9200,-105.9100,-19.2500
1037881,t,-0.6852,0.3714,0.9833,-30.3800,-115.4300,-11.3400
1037891,t,-0.5885,0.2991,0.9257,-12.6000,-128.1700,-2.4500
1037901,t,-0.5446,0.2094,0.9052,14.9800,-140.4900,8.2600
1037910,t,-0.5368,0.0810,0.9145,35.5600,-150.1500,21.8400
1037919,t,-0.5378,-0.0488,0.9516,59.7800,-157.5000,34.5800
1037929,t,-0.5363,-0.0473,1.0307,77.2100,-163.0300,40.1800
1037939,t,-0.5597,0.1118,1.0668,64.6800,-162.0500,35.7000
1037949,t,-0.5431,0.2586,1.0180,26.6700,-154.7000,20.5100
1037958,t,-0.4573,0.3201,0.9409,-1.8200,-144.9700,-1.3300
1037968,t,-0.3680,0.3377,0.8296,-3.5000,-136.0100,-22.3300
1037977,t,-0.2518,0.3167,0.7720,9.8700,-131.3200,-33.9500
1037987,t,-0.0551,0.2201,0.8057,19.1100,-128.6600,-28.6300
1037997,t,0.0844,0.0752,0.8438,32.6200,-128.5200,-4.6900
1038006,t,0.1405,0.0054,0.8608,41.2300,-132.5800,30.9400
