millis,label,ax,ay,az,gx,gy,gz
3440593,t,0.1327,0.0556,1.0760,2.3800,-24.4300,41.7200
3440602,z,0.1362,0.0478,1.0687,3.7800,-25.0600,40.8100
3440612,z,0.1420,0.0410,1.0560,5.1800,-26.3200,39.5500
3440622,z,0.1449,0.0303,1.0472,5.5300,-27.6500,38.7100
3440631,z,0.1444,0.0181,1.0390,5.5300,-28.6300,38.1500
3440641,z,0.1366,0.0039,1.0292,6.1600,-29.1900,37.7300
3440651,z,0.1283,-0.0107,1.0228,7.4200,-29.3300,37.1000
3440660,z,0.1235,-0.0215,1.0185,9.3800,-29.2600,37.1000
3440669,z,0.1249,-0.0293,1.0136,11.9700,-29.4700,34.2300
3440679,z,0.1376,-0.0205,1.0126,12.4600,-31.5700,32.7600
3440689,z,0.1523,-0.0059,1.0106,7.3500,-33.0400,31.8500
3440699,z,0.1562,-0.0122,0.9945,3.7800,-34.6500,31.9200
3440708,z,0.1557,-0.0224,0.9711,8.0500,-35.6300,32.7600
3440718,z,0.1562,-0.0098,0.9740,11.2700,-35.4200,34.0900
3440727,z,0.1537,-0.0098,0.9784,11.9000,-34.0900,35.0700
3440737,z,0.1566,0.0078,0.9794,10.5700,-31.9200,35.0000
3440747,z,0.1791,0.0151,0.9731,8.2600,-29.8900,33.6700
3440756,z,0.2162,0.0078,0.9584,5.1800,-28.4200,31.9900
3440766,z,0.2259,0.0034,0.9545,4.7600,-27.0200,30.8700
3440776,z,0.2347,0.0117,0.9662,2.4500,-25.1300,30.1000
3440785,z,0.2323,0.0102,0.9726,-0.8400,-22.9600,30.2400
3440794,z,0.2323,0.0039,0.9716,-3.0100,-21.0700,31.5700
3440804,z,0.2313,0.0000,0.9706,-1.8200,-20.0200,32.8300
3440814,z,0.2308,-0.0029,0.9682,1.0500,-19.7400,33.7400
3440824,z,0.2479,-0.0142,0.9692,2.7300,-20.0900,34.3700
3440833,z,0.2655,-0.0312,0.9726,2.4500,-20.6500,35.0000
3440843,z,0.2694,-0.0542,0.9687,-0.9800,-21.1400,35.8400
3440852,z,0.2679,-0.0805,0.9565,-4.5500,-21.4200,36.6100
3440862,z,0.2650,-0.1074,0.9418,-6.9300,-21.1400,36.9600
3440872,z,0.2611,-0.1308,0.9355,-6.3000,-20.0900,36.5400
3440881,z,0.2601,-0.1396,0.9384,-5.5300,-18.3400,35.0700
3440891,z,0.2572,-0.1405,0.9433,-6.5100,-16.5200,32.6200
3440901,z,0.2586,-0.1449,0.9457,-7.4200,-14.7000,29.1900
3440910,z,0.2630,-0.1571,0.9379,-7.2800,-13.6500,25.2000
3440919,z,0.2611,-0.1693,0.9301,-5.1800,-13.5800,3.3600
3440929,z,0.2601,-0.1703,0.9292,-4.0600,-14.2100,14.0700
3440939,z,0.2650,-0.1610,0.9301,-3.9200,-14.8400,10.3600
3440949,z,0.2684,-0.1425,0.9340,-6.0900,-14.2100,6.7200
3440958,z,0.2684,-0.1259,0.9345,-6.3000,-13.3700,3.9900
3440968,z,0.2699,-0.1196,0.9282,-6.9300,-12.3900,2.5900
3440977,z,0.2704,-0.1147,0.9282,-7.9800,-11.3400,1.9600
3440987,z,0.2743,-0.1122,0.9121,-6.6500,-10.2900,1.6100
3440997,z,0.2782,-0.1074,0.9106,-4.6200,-9.3100,1.3300
3441006,z,0.2816,-0.0961,0.9174,-3.9200,-8.0500,1.0500
3441016,z,0.2816,-0.0859,0.9218,-4.7600,-6.7200,0.7000
3441026,z,0.2782,-0.0810,0.9213,-4.3400,-5.5300,0.1400
3441035,z,0.2811,-0.0742,0.9243,-2.3100,-4.8300,-0.6300
3441044,z,0.2855,-0.0639,0.9306,-1.6800,-4.3400,-1.8200
3441054,z,0.2904,-0.0537,0.9350,-2.3100,-4.0600,-3.5000
3441064,z,0.2972,-0.0386,0.9428,-3.4300,-3.8500,-5.3200
3441074,z,0.3021,-0.0244,0.9472,-5.1100,-3.2900,-7.1400
3441083,z,0.3065,-0.0171,0.9457,-4.4800,-2.9400,-8.1900
3441093,z,0.3084,-0.0078,0.9462,-2.8000,-3.0100,-8.1200
