millis,label,ax,ay,az,gx,gy,gz
6228203,c,0.2908,-1.6704,0.8350,-9.4500,96.4600,23.5200
6228212,c,0.2845,-1.6411,0.9301,-9.1700,83.3000,13.7200
6228222,c,0.2782,-1.5923,0.9897,-6.6500,66.9200,-0.4200
6228231,c,0.2777,-1.5191,1.0053,-0.9100,48.9300,-16.8000
6228241,c,0.2894,-1.4167,0.9911,6.5100,31.9900,-50.8900
6228250,c,0.2987,-1.3015,0.9570,12.4600,18.7600,-58.1000
6228260,c,0.2899,-1.1814,0.9072,16.5900,5.6700,-64.7500
6228270,c,0.2747,-1.0604,0.8516,14.2800,2.8000,-65.9400
6228280,c,0.2582,-0.9599,0.7954,9.6600,0.7700,-61.1800
6228289,c,0.2425,-0.8867,0.7579,2.6600,-0.5600,-50.8200
6228298,c,0.2440,-0.8335,0.7388,-3.5700,-1.7500,-37.5200
6228308,c,0.2542,-0.7984,0.7076,-6.6500,-3.5000,-24.3600
6228318,c,0.2538,-0.7593,0.6837,-5.6000,-6.6500,-14.4200
6228328,c,0.2606,-0.7462,0.6622,-3.1500,-10.5000,-8.7500
6228337,c,0.2674,-0.7447,0.6437,-0.0700,-13.9300,-6.5800
6228347,c,0.2704,-0.7486,0.6217,2.5900,-16.0300,-6.7200
6228356,c,0.2679,-0.7462,0.5983,3.5000,-16.8000,-7.9800
6228366,c,0.2596,-0.7369,0.5817,-0.4900,-16.5900,-9.8000
6228375,c,0.2499,-0.7354,0.5680,-7.7700,-15.8900,-11.2700
6228385,c,0.2362,-0.7501,0.5505,-13.1600,-15.2600,-11.1300
6228395,c,0.2225,-0.7701,0.5261,-14.3500,-15.1900,-9.1700
6228405,c,0.2216,-0.7828,0.5026,-10.6400,-15.2600,-6.7200
6228414,c,0.2391,-0.7788,0.4900,-5.1800,-15.0500,-3.9200
6228423,c,0.2655,-0.7710,0.4797,-1.1200,-14.6300,-1.5400
6228433,c,0.2830,-0.7715,0.4607,1.3300,-14.4200,0.8400
6228443,c,0.2830,-0.7798,0.4416,-0.4900,-14.9800,3.0800
6228453,c,0.2782,-0.7915,0.4363,-2.6600,-14.7700,4.0600
6228462,c,0.2782,-0.7940,0.4402,-2.4500,-12.8100,3.2200
6228472,c,0.2821,-0.7974,0.4387,0.0000,-9.4500,1.2600
6228481,c,0.2850,-0.8072,0.4338,3.6400,-6.3700,-0.1400
6228491,c,0.2752,-0.8247,0.4382,3.7100,-5.2500,0.0700
6228500,c,0.2611,-0.8462,0.4514,-0.8400,-5.7400,5.1100
6228510,c,0.2538,-0.8589,0.4631,-4.8300,-7.1400,6.6500
6228520,c,0.2518,-0.8633,0.4729,-5.8100,-9.5900,6.4400
6228530,c,0.2518,-0.8667,0.4860,2.3800,-10.4300,5.7400
6228539,c,0.2547,-0.8682,0.4953,2.3800,-11.9000,5.1800
6228548,c,0.2621,-0.8677,0.4865,8.4700,-14.1400,5.4600
6228558,c,0.2708,-0.8755,0.4514,5.9500,-16.1000,6.2300
6228568,c,0.2840,-0.8877,0.4372,2.2400,-16.5200,6.3700
6228578,c,0.2923,-0.9018,0.4314,0.0700,-15.4000,4.6200
6228587,c,0.2869,-0.9028,0.4333,0.0000,-13.0900,1.9600
6228597,c,0.2762,-0.9004,0.4377,1.4700,-10.8500,-1.2600
6228606,c,0.2635,-0.8950,0.4431,3.5000,-9.1700,-3.8500
6228616,c,0.2591,-0.8843,0.4509,5.5300,-8.4700,-5.3200
6228625,c,0.2586,-0.8716,0.4548,8.4000,-8.6800,-5.8100
6228635,c,0.2723,-0.8584,0.4490,11.4100,-10.0800,-5.2500
6228645,c,0.2801,-0.8481,0.4480,10.8500,-12.1100,-3.8500
6228655,c,0.2733,-0.8506,0.4543,5.3900,-13.5100,-1.4000
6228664,c,0.2723,-0.8560,0.4616,0.3500,-13.0900,1.4000
6228673,c,0.2699,-0.8550,0.4685,-1.4700,-11.3400,3.6400
6228683,c,0.2630,-0.8545,0.4758,-0.0700,-9.3100,4.6900
6228693,c,0.2572,-0.8564,0.4807,2.1700,-8.1900,5.1800
6228703,c,0.2533,-0.8613,0.4797,4.2000,-8.5400,5.9500
6228712,c,0.2518,-0.8672,0.4724,6.1600,-10.0100,6.9300
6228722,c,0.2542,-0.8701,0.4607,8.7500,-11.6900,7.2800
6228731,c,0.2630,-0.8682,0.4485,11.4100,-12.9500,6.7900
6228741,c,0.2733,-0.8642,0.4333,13.1600,-13.4400,5.3900
6228750,c,0.2801,-0.8579,0.4187,13.7200,-13.0900,3.4300
6228760,c,0.2811,-0.8486,0.4070,12.0400,-12.1100,-0.7700
6228770,c,0.2772,-0.8355,0.4011,8.6800,-10.4300,-2.0300
6228780,c,0.2786,-0.8237,0.3987,4.9000,-5.3900,-2.2400
6228789,c,0.2826,-0.8189,0.4021,2.8700,-5.3900,-0.7700
6228798,c,0.2811,-0.8159,0.4124,2.6600,-1.6800,1.4700
6228808,c,0.2752,-0.8145,0.4236,3.6400,-1.2600,4.2000
6228818,c,0.2747,-0.8169,0.4348,3.0100,-1.2600,6.7900
6228828,c,0.2777,-0.8276,0.4363,1.8900,-1.2600,8.4000
6228837,c,0.2791,-0.8511,0.4382,1.4000,-0.7000,8.4700
6228847,c,0.2621,-0.8599,0.4412,1.0500,0.4200,7.2100
6228856,c,0.2621,-0.8672,0.4441,0.4900,1.5400,5.7400
6228866,c,0.2552,-0.8725,0.4485,-0.4200,2.1700,4.9000
6228875,c,0.2542,-0.8750,0.4538,-1.6100,2.0300,4.6200
6228885,c,0.2484,-0.8794,0.4568,-2.1700,1.4000,4.7600
6228895,c,0.2435,-0.8862,0.4573,-1.8900,0.6300,4.9000
6228905,c,0.2430,-0.8911,0.4577,-2.1700,0.0000,5.0400
6228914,c,0.2425,-0.8965,0.4582,-3.0800,-0.2100,4.9000
6228923,c,0.2430,-0.8999,0.4587,-3.7100,0.0000,4.3400
6228933,c,0.2440,-0.8984,0.4612,-2.9400,0.2100,3.0100
6228943,c,0.2420,-0.8935,0.4665,-1.1900,0.3500,1.2600
6228953,c,0.2411,-0.8877,0.4704,-0.2100,0.1400,-0.2100
6228962,c,0.2420,-0.8804,0.4734,-0.2800,-0.2800,-0.8400
6228971,c,0.2430,-0.8725,0.4748,-0.7700,-0.9100,-0.9800
6228981,c,0.2420,-0.8686,0.4709,-0.3500,-1.7500,-0.8400
6228991,c,0.2377,-0.8647,0.4631,1.8200,-2.6600,-0.8400
6229000,c,0.2362,-0.8599,0.4563,4.3400,-3.3600,-0.7700
6229010,c,0.2450,-0.8608,0.4470,6.8600,-3.4300,-0.1400
6229020,c,0.2562,-0.8623,0.4348,10.2900,-2.5900,2.8700
6229030,c,0.2591,-0.8594,0.4309,10.1500,0.3500,4.3400
6229039,c,0.2601,-0.8603,0.4348,5.4600,0.3500,5.0400
6229048,c,0.2630,-0.8638,0.4460,0.6300,2.8000,4.6900
6229058,c,0.2616,-0.8652,0.4626,-2.1700,2.4500,3.2900
6229068,c,0.2542,-0.8633,0.4807,-2.5900,1.0500,1.3300
6229078,c,0.2445,-0.8574,0.4992,1.4000,-0.7000,-0.9800
6229087,c,0.2372,-0.8179,0.5046,8.1900,-2.1000,-3.0100
6229096,c,0.2347,-0.8179,0.5065,15.3300,-2.7300,-3.7100
6229106,c,0.2474,-0.8052,0.5002,21.4200,-2.7300,-2.0300
6229116,c,0.1259,-0.8111,0.4943,21.6300,-2.8700,2.1000
6229125,c,0.2381,-0.8228,0.4943,14.6300,-3.2900,7.3500
6229135,c,0.2352,-0.8413,0.4997,5.3200,-3.5700,12.1800
6229145,c,0.2396,-0.8613,0.5139,-1.8900,-3.5000,15.1200
6229155,c,0.2406,-0.8794,0.5285,-5.6000,-3.6400,15.7500
6229164,c,0.2323,-0.8886,0.5383,-5.3900,-4.2000,14.1400
6229173,c,0.2279,-0.8950,0.5427,-1.7500,-5.1100,10.8500
6229183,c,0.2401,-0.8984,0.5373,3.5700,-6.3700,7.0000
6229193,c,0.2533,-0.8921,0.5261,8.9600,-7.4200,2.7300
6229203,c,0.2577,-0.8813,0.5119,11.8300,-7.7000,-1.5400
6229212,c,0.2611,-0.8652,0.4992,10.9200,-7.5600,-5.0400
6229221,c,0.2601,-0.8506,0.4914,6.9300,-7.0700,-7.3500
6229231,c,0.2508,-0.8423,0.4900,2.0300,-6.4400,-7.9100
6229241,c,0.2396,-0.8379,0.4953,-1.6800,-5.9500,-7.0000
6229250,c,0.2342,-0.8369,0.4963,-3.5700,-5.6000,-4.8300
6229260,c,0.2294,-0.8374,0.4919,-1.7500,-5.6000,-1.6800
6229270,c,0.2294,-0.8418,0.4904,0.9100,-5.8800,1.8900
6229280,c,0.2362,-0.8525,0.4875,2.3800,-5.9500,9.0300
6229289,c,0.2416,-0.8628,0.4773,3.7800,-5.9500,9.0300
6229298,c,0.2484,-0.8716,0.4690,3.6400,-6.0900,10.9900
6229308,c,0.2533,-0.8828,0.4651,2.3100,-6.3700,9.3800
6229318,c,0.2557,-0.8945,0.4616,1.6100,-5.9500,6.4400
6229328,c,0.2572,-0.9018,0.4602,1.9600,-5.5300,2.8000
6229337,c,0.2528,-0.9043,0.4582,1.6800,-5.0400,-0.8400
6229346,c,0.2455,-0.9023,0.4582,1.2600,-4.7600,-3.9900
6229356,c,0.2396,-0.8945,0.4509,1.4700,-4.4800,-6.2300
6229366,c,0.2342,-0.8760,0.4524,0.7700,-3.9900,-6.9300
6229375,c,0.2294,-0.8706,0.4524,0.5600,-3.2200,-6.0900
6229385,c,0.2294,-0.8657,0.4548,1.2600,-2.5200,-4.1300
6229395,c,0.2313,-0.8638,0.4597,2.3100,-2.0300,-1.8200
6229405,c,0.2318,-0.8677,0.4631,3.4300,-1.9600,0.4200
6229414,c,0.2313,-0.8740,0.4626,4.6200,-2.3100,2.0300
6229423,c,0.2308,-0.8789,0.4587,5.6700,-2.8000,2.4500
6229433,c,0.2333,-0.8823,0.4568,6.0200,-2.7300,1.6800
6229443,c,0.2357,-0.8838,0.4548,6.3000,-1.8900,0.0000
6229453,c,0.2357,-0.8828,0.4548,5.6000,-0.3500,-1.8900
6229462,c,0.2338,-0.8818,0.4587,4.1300,1.3300,-3.7800
6229471,c,0.2318,-0.8779,0.4665,2.8000,2.5900,-5.0400
6229481,c,0.2308,-0.8740,0.4753,1.5400,3.0800,-5.5300
6229491,c,0.2313,-0.8696,0.4846,1.0500,2.8000,-5.7400
6229500,c,0.2328,-0.8623,0.4958,1.3300,2.0300,-6.0200
6229510,c,0.2347,-0.8579,0.5041,2.1000,0.9800,-6.3000
6229520,c,0.2352,-0.8560,0.5017,3.2200,-0.3500,-6.0900
6229530,c,0.2381,-0.8481,0.4963,4.6900,-1.3300,-5.3900
6229539,c,0.2450,-0.8389,0.4958,5.1800,-1.4700,-5.3900
6229548,c,0.2508,-0.8316,0.4948,5.5300,-0.6300,-5.3900
6229558,c,0.2547,-0.8262,0.4929,6.0900,0.7700,-4.9000
6229568,c,0.2586,-0.8237,0.4924,4.7600,1.8200,-3.7800
6229578,c,0.2601,-0.8242,0.4939,-1.9600,1.4700,-2.5900
6229587,c,0.2616,-0.8296,0.5114,-3.2900,1.2600,-1.4000
6229596,c,0.2650,-0.8389,0.5114,-2.1000,1.1900,-0.2800
6229606,c,0.2684,-0.8481,0.5388,-0.9100,0.9100,0.5600
6229616,c,0.2689,-0.8564,0.5446,0.5600,0.1400,0.9800
6229625,c,0.2669,-0.8633,0.5451,2.0300,-1.2600,0.8400
6229635,c,0.2655,-0.8647,0.5431,2.5200,-2.8000,0.4900
6229645,c,0.2640,-0.8638,0.5339,3.2900,-3.8500,-0.1400
6229655,c,0.2591,-0.8608,0.5226,3.4300,-4.2700,-0.5600
6229664,c,0.2582,-0.8603,0.5148,2.3800,-3.9200,-0.7700
6229673,c,0.2572,-0.8603,0.5090,0.8400,-2.9400,-0.8400
6229683,c,0.2562,-0.8584,0.5090,0.2800,-1.5400,-1.0500
6229693,c,0.2606,-0.8550,0.5139,-0.1400,-0.3500,-1.3300
6229703,c,0.2630,-0.8550,0.5207,-0.3500,0.1400,-1.6100
6229712,c,0.2616,-0.8550,0.5285,-0.2100,-0.0700,-1.7500
6229721,c,0.2582,-0.8545,0.5388,-0.4900,-0.8400,-1.7500
6229731,c,0.2547,-0.8560,0.5495,-0.4200,-1.8200,-1.5400
6229741,c,0.2572,-0.8535,0.5597,-0.2800,-2.7300,-1.1200
6229750,c,0.2625,-0.8516,0.5646,-0.5600,-3.7800,-0.7700
6229760,c,0.2699,-0.8540,0.5641,-0.4200,-4.9000,-0.2100
6229770,c,0.2850,-0.8584,0.5627,-1.1200,-5.8800,0.4900
6229780,c,0.3065,-0.8623,0.5671,-2.3100,-6.0900,1.1900
6229789,c,0.3270,-0.8662,0.5783,-4.3400,-5.4600,1.4700
6229798,c,0.3416,-0.8696,0.5949,-6.5800,-4.3400,0.9800
6229808,c,0.3494,-0.8657,0.6159,-7.9800,-3.5700,-2.8000
6229818,c,0.3611,-0.8579,0.6437,-10.3600,-3.3600,-4.7600
6229828,c,0.3689,-0.8550,0.6769,-14.1400,-5.3900,-6.4400
6229837,c,0.3655,-0.8491,0.7086,-19.1800,-7.4200,-8.1200
6229846,c,0.3616,-0.8335,0.7374,-19.1800,-10.0800,-9.8700
6229856,c,0.3577,-0.8164,0.7652,-17.7800,-13.1600,-11.2000
6229866,c,0.3450,-0.8028,0.7964,-13.6500,-17.1500,-11.9700
6229875,c,0.3323,-0.7857,0.8018,-9.3100,-22.1200,-12.1800
6229885,c,0.3211,-0.7340,0.7984,-5.6000,-27.4400,-11.9000
6229895,c,0.2987,-0.7032,0.7925,-1.8200,-32.6900,-11.0600
6229905,c,0.2899,-0.6647,0.7857,2.6600,-37.1000,-10.1500
