millis,label,ax,ay,az,gx,gy,gz
5928099,u,0.2357,-0.1884,0.8574,8.4700,-68.8800,-10.7100
5928109,d,0.2513,-0.1879,0.8555,12.9500,-61.0400,-12.4600
5928119,d,0.2630,-0.1937,0.8496,15.5400,-53.5500,-12.3200
5928128,d,0.2704,-0.2035,0.8438,15.6800,-46.7600,-10.0800
5928137,d,0.2733,-0.2128,0.8516,15.0500,-40.6000,-6.5800
5928147,d,0.2694,-0.2137,0.8701,10.1500,-35.2100,-2.9400
5928157,d,0.2655,-0.2103,0.8852,0.7700,-31.5000,-0.0700
5928166,d,0.2625,-0.2084,0.8916,-8.5400,-29.8900,1.2600
5928176,d,0.2577,-0.2084,0.8950,-15.1900,-30.1000,1.4000
5928186,d,0.2577,-0.2123,0.9023,-18.9000,-30.9400,0.9100
5928195,d,0.2655,-0.2235,0.9155,-19.0400,-30.8700,0.2800
5928205,d,0.2718,-0.2342,0.9272,-15.0500,-29.4000,-0.2800
5928214,d,0.2723,-0.2352,0.9257,-7.7000,-26.5300,-1.3300
5928224,d,0.2713,-0.2298,0.9170,1.0500,-22.8900,-3.3600
5928234,d,0.2718,-0.2191,0.9121,7.7000,-19.0400,-5.6000
5928244,d,0.2743,-0.2054,0.9057,8.1900,-15.6100,-7.6300
5928253,d,0.2762,-0.1932,0.9018,4.6900,-12.7400,-9.2400
5928262,d,0.2762,-0.1864,0.9018,-0.7700,-10.3600,-9.7300
5928272,d,0.2782,-0.1879,0.9062,-5.6000,-8.4700,-9.0300
5928282,d,0.2806,-0.1962,0.9223,-8.1200,-6.5100,-4.6200
5928291,d,0.2830,-0.2108,0.9418,-8.5400,-4.4100,-2.7300
5928301,d,0.2830,-0.2211,0.9545,-5.5300,-2.4500,-2.2400
5928311,d,0.2791,-0.2206,0.9594,-0.0700,-3.2900,-3.2200
5928320,d,0.2782,-0.2162,0.9531,-0.0700,-4.9700,-5.0400
5928330,d,0.2782,-0.2059,0.9423,2.0300,-6.8600,-7.0700
5928339,d,0.2777,-0.1976,0.9296,0.3500,-8.1200,-8.3300
5928349,d,0.2811,-0.1972,0.9257,-0.7000,-8.4000,-8.5400
5928359,d,0.2865,-0.1962,0.9267,-1.5400,-8.0500,-7.6300
5928369,d,0.2913,-0.1957,0.9311,-1.6100,-7.1400,-6.4400
5928378,d,0.2923,-0.1918,0.9335,-0.9100,-5.9500,-5.3900
5928387,d,0.2938,-0.1889,0.9340,-0.4200,-4.9700,-4.7600
5928397,d,0.2962,-0.1923,0.9331,0.1400,-4.0600,-4.4800
5928407,d,0.2972,-0.1952,0.9321,1.1200,-3.3600,-4.2000
5928416,d,0.3001,-0.1947,0.9331,1.4700,-2.7300,-3.7800
5928426,d,0.3040,-0.1923,0.9350,0.9800,-1.7500,-3.2900
5928436,d,0.3065,-0.1923,0.9345,0.6300,-0.3500,-2.5200
5928445,d,0.3074,-0.1957,0.9394,1.5400,1.4000,-1.6100
5928455,d,0.3074,-0.1996,0.9457,3.0800,3.0800,-1.0500
5928464,d,0.3055,-0.1972,0.9448,5.1800,3.8500,-1.1900
5928474,d,0.3035,-0.1967,0.9472,5.1800,3.4300,-1.8900
5928484,d,0.3045,-0.2011,0.9550,4.3400,2.3100,-2.8000
5928494,d,0.3045,-0.2020,0.9560,3.2200,0.9100,-3.8500
5928502,d,0.3040,-0.1957,0.9506,2.8000,-0.7000,-5.0400
5928512,d,0.3030,-0.1874,0.9492,2.0300,-2.1700,-5.9500
5928522,d,0.3040,-0.1845,0.9540,0.2800,-3.0800,-6.1600
5928532,d,0.3104,-0.1835,0.9584,-1.1900,-3.1500,-5.1100
5928541,d,0.3148,-0.1791,0.9545,-1.3300,-2.7300,-1.5400
5928551,d,0.3148,-0.1728,0.9477,-1.0500,-1.6800,0.1400
5928561,d,0.3128,-0.1713,0.9472,-1.4700,-0.8400,1.8200
5928570,d,0.3138,-0.1791,0.9579,-2.7300,0.4200,3.0800
5928580,d,0.3167,-0.1903,0.9701,-3.0100,1.4700,3.1500
5928589,d,0.3157,-0.1962,0.9770,0.8400,1.5400,1.8200
5928599,d,0.3118,-0.1952,0.9736,2.3800,0.7000,-0.2800
5928609,d,0.3089,-0.1937,0.9711,2.1700,-0.9100,-2.1000
5928619,d,0.3084,-0.1952,0.9706,-0.5600,-2.7300,-3.1500
5928627,d,0.3113,-0.1972,0.9711,-3.2200,-4.2700,-3.6400
5928637,d,0.3133,-0.1972,0.9716,-4.9700,-5.3900,-3.7100
5928647,d,0.3182,-0.1908,0.9662,-5.9500,-6.3700,-3.6400
5928657,d,0.3182,-0.1830,0.9599,-5.0400,-7.0000,-3.6400
5928666,d,0.3172,-0.1796,0.9570,-3.9200,-7.0700,-3.1500
5928676,d,0.3177,-0.1810,0.9555,-3.0100,-6.0900,-1.8900
5928686,d,0.3196,-0.1889,0.9584,-2.2400,-4.2700,0.0700
5928695,d,0.3192,-0.1972,0.9594,-0.7000,-1.9600,2.2400
5928705,d,0.3148,-0.1996,0.9570,1.1200,-0.0700,3.5000
5928714,d,0.3113,-0.2040,0.9599,2.3100,1.1200,3.7100
5928724,d,0.3104,-0.2137,0.9706,2.5900,1.4700,3.0800
5928734,d,0.3094,-0.2196,0.9799,3.0800,1.1200,1.6100
5928744,d,0.3055,-0.2157,0.9809,3.2900,-0.1400,-0.7700
5928752,d,0.3026,-0.2094,0.9780,2.5200,-2.2400,-3.3600
5928762,d,0.3011,-0.2064,0.9780,0.7700,-4.5500,-5.1800
5928772,d,0.3035,-0.2069,0.9784,-0.8400,-6.5100,-5.6000
5928782,d,0.3084,-0.2050,0.9755,-1.1200,-7.8400,-4.9700
5928791,d,0.3065,-0.1976,0.9692,-0.0700,-8.6800,-3.9900
5928801,d,0.3045,-0.1884,0.9589,0.7700,-8.8900,-1.8200
5928811,d,0.3045,-0.1820,0.9448,1.1900,-7.8400,-0.4200
5928820,d,0.3035,-0.1786,0.9306,0.3500,-7.8400,1.5400
5928830,d,0.3050,-0.1796,0.9287,-1.7500,-5.6000,3.7800
5928839,d,0.3074,-0.1908,0.9404,-3.6400,-3.7100,5.3200
5928849,d,0.3109,-0.2045,0.9516,-0.4900,-2.7300,5.3200
5928859,d,0.3065,-0.2064,0.9462,1.8200,-2.9400,3.8500
5928869,d,0.2996,-0.2020,0.9423,3.0800,-3.9200,1.5400
5928877,d,0.3011,-0.2020,0.9409,1.6100,-4.6900,-0.2100
5928887,d,0.3045,-0.2035,0.9389,-0.8400,-5.1100,-0.7000
5928897,d,0.3113,-0.2069,0.9409,-2.3800,-4.7600,-0.2800
