millis,label,ax,ay,az,gx,gy,gz
5884986,0,0.0210,-0.2323,0.9984,2.5900,-2.1700,-0.4900
5884995,u,0.0205,-0.2284,1.0009,2.5900,-1.9600,-1.0500
5885004,u,0.0181,-0.2250,1.0019,2.8700,-1.9600,-1.3300
5885014,u,0.0156,-0.2235,1.0024,1.1900,-2.2400,-1.1900
5885024,u,0.0156,-0.2211,1.0024,-0.6300,-2.8700,-0.8400
5885034,u,0.0161,-0.2220,1.0048,-2.1000,-3.4300,-0.0700
5885043,u,0.0156,-0.2250,1.0097,-2.3800,-3.7800,0.6300
5885053,u,0.0171,-0.2279,1.0121,-1.3300,-3.7100,1.1900
5885062,u,0.0171,-0.2269,1.0102,-0.0700,-3.5000,1.3300
5885072,u,0.0151,-0.2255,1.0067,0.9800,-3.3600,1.0500
5885082,u,0.0146,-0.2264,1.0033,1.4700,-3.3600,0.7700
5885091,u,0.0151,-0.2259,1.0004,1.1200,-3.3600,0.3500
5885101,u,0.0142,-0.2250,0.9984,0.9800,-3.5000,-0.2100
5885111,u,0.0146,-0.2259,0.9989,0.7000,-3.6400,-0.5600
5885120,u,0.0185,-0.2250,0.9975,0.5600,-3.6400,-0.7000
5885129,u,0.0185,-0.2225,0.9897,0.6300,-3.7100,-0.4900
5885139,u,0.0171,-0.2211,0.9823,0.7000,-3.9200,-0.2100
5885149,u,0.0176,-0.2196,0.9789,0.4900,-3.8500,0.2100
5885159,u,0.0200,-0.2196,0.9760,-0.2800,-3.5000,0.7000
5885168,u,0.0195,-0.2196,0.9726,-0.9100,-2.8700,1.1900
5885178,u,0.0176,-0.2196,0.9731,-1.5400,-1.8200,1.4700
5885187,u,0.0176,-0.2211,0.9780,-2.1700,-0.4200,1.6800
5885197,u,0.0176,-0.2230,0.9833,-2.0300,1.1900,1.8200
5885207,u,0.0185,-0.2255,0.9921,-1.0500,3.0100,2.0300
5885216,u,0.0195,-0.2279,1.0009,0.0700,4.4800,1.5400
5885226,u,0.0146,-0.2294,1.0043,1.2600,5.3200,0.9100
5885236,u,0.0117,-0.2298,1.0072,1.6100,5.0400,0.3500
5885245,u,0.0151,-0.2308,1.0116,0.9100,4.4100,0.0000
5885254,u,0.0156,-0.2338,1.0121,0.3500,3.7800,-0.2100
5885264,u,0.0137,-0.2342,1.0102,-0.7000,3.0100,-0.5600
5885274,u,0.0142,-0.2308,1.0038,-1.5400,2.3800,-0.9800
5885284,u,0.0098,-0.2313,1.0048,-1.6800,1.8200,-1.3300
5885293,u,0.0078,-0.2298,1.0102,-1.8200,1.6100,-1.3300
5885302,u,0.0102,-0.2274,1.0102,-2.1700,1.3300,-1.2600
5885312,u,0.0093,-0.2284,1.0082,-2.3800,1.2600,-0.9800
5885322,u,0.0063,-0.2352,1.0087,-2.2400,1.4000,-0.9100
5885332,u,0.0034,-0.2406,1.0082,-1.2600,2.1700,-0.8400
5885341,u,0.0034,-0.2362,1.0063,0.0700,3.2900,-0.9100
5885351,u,0.0029,-0.2342,1.0038,0.7000,4.4800,-1.0500
5885361,u,0.0054,-0.2381,0.9999,2.7300,5.6000,-0.9800
5885370,u,0.0029,-0.2245,1.0058,3.2900,6.5100,-0.6300
5885379,u,-0.0044,-0.2298,1.0058,-0.4200,7.3500,-0.0700
5885389,u,-0.0020,-0.2357,1.0082,0.7700,8.1900,0.5600
5885399,u,0.0005,-0.2162,1.0243,0.2100,8.6800,0.2800
5885409,u,-0.0102,-0.2269,1.0233,0.4200,8.4700,-0.7000
5885418,u,-0.0190,-0.2362,1.0150,6.0200,7.5600,-1.8200
5885427,u,-0.0146,-0.2206,1.0155,8.8900,5.9500,-3.1500
5885437,u,-0.0112,-0.2201,1.0106,9.1000,4.2700,-4.0600
5885447,u,-0.0127,-0.2181,0.9989,8.7500,2.7300,-3.7100
5885457,u,-0.0078,-0.2006,0.9945,4.5500,1.4700,-2.2400
5885466,u,0.0054,-0.1850,1.0033,-2.2400,1.0500,0.0700
5885476,u,0.0185,-0.1884,1.0228,-8.4700,1.5400,5.8100
5885486,u,0.0264,-0.2064,1.0458,-7.7700,6.7200,7.9800
5885495,u,0.0298,-0.2211,1.0716,-0.4900,6.7200,8.9600
5885504,u,0.0303,-0.2347,1.1087,10.9200,17.6400,9.1700
5885514,u,0.0361,-0.2557,1.1663,29.8900,23.4500,8.5400
5885524,u,0.0420,-0.3016,1.4957,21.5600,24.5000,6.3700
5885534,u,0.0454,-0.3611,1.7358,-33.1800,14.9100,2.1000
5885543,u,0.0522,-0.5158,2.0750,-103.2500,-11.5500,-10.1500
5885552,u,0.0473,-0.5158,2.3068,-164.0100,-62.7900,-37.2400
5885562,u,0.0073,-0.7261,2.4097,-153.3700,-136.2900,-85.0500
5885572,u,-0.3357,-0.8838,2.4629,-64.7500,-229.9500,-142.8000
5885582,u,-0.3904,-0.8896,2.3858,21.9800,-336.9100,-194.5300
5885591,u,-0.4890,-0.7281,2.1838,100.0300,-439.1800,-233.3800
5885601,u,-0.4714,-0.4978,1.8910,96.6000,-520.1000,-249.4100
5885611,u,-0.3367,-0.3333,1.4518,63.3500,-573.3000,-244.8600
5885620,u,-0.2303,-0.1996,0.9906,46.6200,-602.2800,-232.4000
5885629,u,-0.1010,-0.0254,0.6354,50.1900,-604.4500,-212.7300
5885639,u,0.0342,0.1332,0.3450,24.5700,-582.0500,-177.8700
5885649,u,0.0830,0.2220,0.1103,5.1100,-542.7800,-148.4700
5885659,u,0.0747,0.2943,-0.0756,-17.9900,-493.5000,-130.0600
5885668,u,0.1157,0.3016,-0.2713,-51.1700,-436.7300,-107.7300
5885677,u,0.1757,0.2596,-0.4397,-69.3000,-374.6400,-81.4100
5885687,u,0.2489,0.2342,-0.5075,-64.4000,-307.5800,-50.7500
5885697,u,0.3314,0.2006,-0.4929,-44.3800,-237.7200,-17.4300
5885707,u,0.4016,0.1342,-0.4490,-8.9600,-164.7800,14.9100
5885716,u,0.4490,0.0971,-0.3904,32.6900,-91.2800,44.0300
5885726,u,0.4294,0.1015,-0.3436,67.4100,-21.6300,73.6400
5885736,u,0.3821,0.1059,-0.3070,89.3900,39.8300,77.0700
5885745,u,0.3582,0.0991,-0.2655,92.1900,90.0900,77.9800
5885754,u,0.3411,0.0673,-0.2040,85.3300,130.8300,76.0900
5885764,u,0.3406,0.0146,-0.1181,78.3300,195.6500,72.7300
5885774,u,0.3528,-0.0351,-0.0224,64.0500,220.0100,69.8600
5885784,u,0.3738,-0.0771,0.2045,54.3900,241.6400,67.7600
5885793,u,0.4099,-0.1176,0.3309,41.5100,265.3000,68.8100
5885802,u,0.4407,-0.1845,0.4480,37.0300,285.9500,70.1400
5885812,u,0.4587,-0.2352,0.5544,32.0600,303.8700,71.4000
5885822,u,0.4616,-0.2713,0.6686,24.2200,319.8300,72.8700
5885832,u,0.4392,-0.3274,0.8150,16.4500,332.7800,74.6900
5885841,u,0.4319,-0.3782,0.9584,7.1400,342.1600,74.6200
5885851,u,0.4177,-0.4026,1.0682,-3.2200,348.5300,72.3100
5885861,u,0.4138,-0.3992,1.1302,-21.6300,348.6000,67.4100
5885870,u,0.3645,-0.3987,1.1258,-32.5500,337.8200,57.3300
5885879,u,0.2494,-0.3880,1.0892,-24.0800,319.5500,41.0900
