millis,label,ax,ay,az,gx,gy,gz
6827410,0,0.1147,-0.2894,0.9960,2.5200,-5.8100,-6.0900
6827418,0,0.1078,-0.3065,0.9960,3.4300,-5.8100,-6.3700
6827428,0,0.1098,-0.3123,0.9955,8.4000,-5.3900,-7.0000
6827438,0,0.1108,-0.3035,0.9931,12.2500,-5.3900,-7.8400
6827448,0,0.0996,-0.3021,0.9902,11.3400,-5.8100,-8.9600
6827458,0,0.1064,-0.2948,0.9814,10.5700,-6.0200,-9.8700
6827467,0,0.1191,-0.2928,0.9721,7.0000,-6.3700,-10.1500
6827477,0,0.0883,-0.3162,0.9784,5.4600,-6.3700,-9.5900
6827486,0,0.0625,-0.3328,0.9794,8.5400,-6.8600,-9.0300
6827496,0,0.0952,-0.3104,0.9711,15.1200,-9.7300,-9.5900
6827505,0,0.1279,-0.2708,0.9770,14.7000,-13.7900,-9.4500
6827515,0,0.1098,-0.2767,0.9780,7.2800,-17.0100,-6.8600
6827525,0,0.1064,-0.3562,0.9750,15.0500,-17.9900,-2.9400
6827535,0,0.0932,-0.3640,1.0180,57.8200,-13.1600,-0.4200
6827543,0,0.1181,-0.1947,1.0063,72.5900,-8.3300,1.8900
6827553,0,0.2259,-0.1542,0.9409,21.7700,-11.5500,3.9900
6827563,0,0.2342,-0.2225,0.9516,4.8300,-12.3200,3.9900
6827573,0,0.1606,-0.2338,0.9736,-5.6700,-11.5500,-0.7000
6827583,0,0.1249,-0.2708,0.9736,-5.3900,-8.6100,-1.5400
6827592,0,0.1181,-0.2757,0.9770,1.6100,-7.4200,-0.9100
6827602,0,0.1113,-0.2679,0.9760,13.1600,-6.3000,0.9800
6827611,0,0.1088,-0.2621,0.9848,13.1600,-4.9000,3.5700
6827621,0,0.1225,-0.2591,1.0028,30.4500,-1.9600,5.1100
6827630,0,0.1303,-0.2601,1.0243,42.2100,0.7700,7.0000
6827640,0,0.1152,-0.2489,1.0253,49.8400,3.0800,9.1700
6827650,0,0.1176,-0.2450,1.0106,54.4600,3.8500,10.3600
6827660,0,0.1874,-0.2416,0.9882,58.3100,2.8700,10.5000
6827668,0,0.1874,-0.2098,0.9862,65.1700,1.4700,9.2400
6827678,0,0.1240,-0.1806,0.9921,65.8000,-0.2100,7.0000
6827688,0,0.1240,-0.1615,0.9862,64.4000,-1.2600,5.1800
6827698,0,0.1376,-0.1391,0.9819,55.3700,-2.8700,4.5500
6827708,0,0.1547,-0.1327,0.9833,36.6100,-4.8300,5.0400
6827717,0,0.1562,-0.1454,0.9862,22.0500,-5.2500,4.9700
6827727,0,0.1381,-0.1693,0.9902,18.9700,-3.7100,4.1300
6827736,0,0.1376,-0.1801,0.9984,23.4500,-1.4000,2.5900
6827746,0,0.1620,-0.1781,1.0121,27.4400,1.1200,0.8400
6827755,0,0.1454,-0.1767,1.0150,36.0500,5.0400,-0.9800
6827765,0,0.1142,-0.1610,1.0165,47.1800,8.8200,-2.8000
6827775,0,0.1118,-0.1542,1.0209,51.5200,11.7600,-3.7800
6827785,0,0.1059,-0.1352,1.0277,59.0800,13.7900,-4.5500
6827793,0,0.1069,-0.1044,1.0419,62.1600,15.5400,-4.9000
6827803,0,0.1196,-0.1005,1.0438,62.0200,15.5400,-4.1300
6827813,0,0.1357,-0.0874,1.0472,59.9200,14.1400,-2.7300
6827823,0,0.1493,-0.0917,1.0492,47.8100,10.9900,-0.7000
6827833,0,0.1547,-0.1186,1.0433,39.7600,8.0500,0.0700
6827842,0,0.1503,-0.1035,1.0341,35.3500,3.8500,-0.7000
6827852,0,0.1435,-0.0493,1.0292,6.9300,1.4700,-2.5900
