millis,label,ax,ay,az,gx,gy,gz
5975828,d,0.2123,-0.2933,0.9467,2.4500,-1.1900,0.2100
5975837,t,0.2118,-0.2952,0.9496,4.6200,-1.1200,0.2800
5975847,t,0.2118,-0.2962,0.9511,5.3200,-0.9800,0.8400
5975857,t,0.2157,-0.2933,0.9516,3.8500,-0.9800,1.7500
5975867,t,0.2167,-0.2938,0.9521,0.6300,-1.1900,2.5900
5975876,t,0.2167,-0.2977,0.9521,-1.8900,-1.6800,3.0800
5975885,t,0.2172,-0.2991,0.9565,-2.4500,-1.9600,3.0100
5975895,t,0.2186,-0.3006,0.9648,-3.2900,-1.9600,2.4500
5975905,t,0.2201,-0.3050,0.9687,-4.4100,-1.7500,1.7500
5975915,t,0.2172,-0.3084,0.9711,-4.1300,-1.3300,1.1200
5975924,t,0.2128,-0.3113,0.9784,-4.2700,-0.9100,0.6300
5975934,t,0.2128,-0.3143,0.9892,-5.9500,-0.5600,0.7700
5975943,t,0.2142,-0.3216,0.9970,-7.6300,-0.5600,1.0500
5975953,t,0.2157,-0.3299,1.0009,-6.2300,-0.9100,0.9100
5975962,t,0.2157,-0.3255,1.0014,-2.1700,-1.5400,-0.5600
5975972,t,0.2162,-0.3152,0.9955,1.4000,-2.4500,-3.0800
5975982,t,0.2186,-0.3065,0.9823,4.9700,-3.3600,-5.9500
5975992,t,0.2230,-0.2928,0.9692,7.9100,-3.9900,-8.2600
5976001,t,0.2279,-0.2796,0.9565,8.4700,-4.4100,-9.5900
5976010,t,0.2284,-0.2699,0.9438,7.0700,-4.5500,-9.7300
5976020,t,0.2259,-0.2640,0.9379,4.6900,-4.4800,-8.8900
5976030,t,0.2264,-0.2621,0.9433,1.4000,-3.9200,-4.9000
5976040,t,0.2303,-0.2616,0.9496,-1.4700,-1.1200,-2.9400
5976049,t,0.2328,-0.2621,0.9550,-2.9400,0.2800,-1.4000
5976059,t,0.2328,-0.2630,0.9599,-3.4300,0.9800,-0.6300
5976068,t,0.2328,-0.2640,0.9628,-3.4300,0.8400,-0.6300
5976078,t,0.2328,-0.2640,0.9633,-2.3800,0.1400,-0.9800
5976087,t,0.2308,-0.2645,0.9711,-2.2400,-0.6300,-1.5400
5976097,t,0.2298,-0.2611,0.9750,-2.2400,-0.7700,-2.3100
5976107,t,0.2308,-0.2582,0.9770,-0.2100,-0.2100,-3.1500
5976117,t,0.2328,-0.2625,0.9843,2.2400,0.5600,-3.5000
5976126,t,0.2377,-0.2650,0.9882,5.1800,1.3300,-3.3600
5976135,t,0.2430,-0.2616,0.9897,6.8600,1.4000,-2.7300
5976145,t,0.2450,-0.2606,0.9902,6.3700,0.6300,-1.8900
5976155,t,0.2464,-0.2577,0.9877,4.9000,-0.9800,-0.8400
5976165,t,0.2469,-0.2582,0.9853,2.1700,-3.0800,0.1400
5976174,t,0.2503,-0.2640,0.9848,1.4700,-4.8300,0.7700
5976184,t,0.2552,-0.2640,0.9862,3.0800,-6.0200,0.7700
5976193,t,0.2538,-0.2645,0.9858,4.8300,-6.7900,0.1400
5976203,t,0.2499,-0.2655,0.9823,6.5800,-7.1400,-0.7000
5976212,t,0.2499,-0.2645,0.9804,7.0700,-7.0700,-1.4000
5976222,t,0.2523,-0.2635,0.9814,6.0900,-6.5800,-1.6100
5976232,t,0.2538,-0.2621,0.9838,4.8300,-5.8100,-1.2600
5976242,t,0.2572,-0.2616,0.9867,4.2700,-5.0400,-0.5600
5976251,t,0.2606,-0.2655,0.9926,4.2700,-4.6200,0.2800
5976260,t,0.2621,-0.2699,0.9980,6.1600,-4.6200,0.9100
5976270,t,0.2660,-0.2694,1.0014,8.4000,-5.2500,1.5400
