millis,label,ax,ay,az,gx,gy,gz
6071881,t,-0.2664,0.1518,1.2830,15.1900,24.5000,37.6600
6071891,z,-0.2240,0.0693,1.2483,12.1800,19.5300,39.5500
6071901,z,-0.1903,-0.0059,1.2176,7.2800,13.7900,41.5100
6071911,z,-0.1601,-0.0727,1.1854,0.3500,7.1400,42.4200
6071920,z,-0.1376,-0.1244,1.1551,-3.4300,-0.3500,40.5300
6071930,z,-0.1332,-0.1552,1.1302,-5.6700,-7.7700,34.7900
6071940,z,-0.1342,-0.1820,1.1053,-6.3000,-13.9300,25.9700
6071949,z,-0.1230,-0.2089,1.0897,-5.5300,-17.7800,16.5200
6071958,z,-0.1118,-0.2313,1.0726,-0.4900,-18.6200,7.9800
6071968,z,-0.1181,-0.2347,1.0536,7.8400,-17.7100,0.7000
6071978,z,-0.1332,-0.2279,1.0302,13.0200,-16.5900,-4.6900
6071988,z,-0.1415,-0.2264,1.0028,14.4900,-15.7500,-6.4400
6071998,z,-0.1337,-0.2274,0.9926,10.7800,-14.4900,2.5900
6072006,z,-0.1240,-0.2274,0.9931,5.1100,-11.8300,2.5900
6072016,z,-0.1235,-0.2342,0.9892,-0.3500,-9.2400,18.4100
6072026,z,-0.1191,-0.2533,0.9814,-1.7500,-7.4200,25.6200
6072036,z,-0.1132,-0.2723,0.9789,2.8000,-5.8800,31.3600
6072045,z,-0.1088,-0.2928,0.9926,13.4400,-4.9700,34.5800
6072055,z,-0.1025,-0.3104,1.0009,17.9200,-4.8300,34.4400
6072065,z,-0.1078,-0.3216,0.9965,21.2800,-5.9500,31.7100
6072074,z,-0.1157,-0.3299,0.9960,22.2600,-7.9100,28.0700
6072083,z,-0.1205,-0.3387,0.9936,19.1100,-10.4300,25.7600
6072093,z,-0.1288,-0.3865,0.9911,11.6200,-12.8100,26.1100
6072103,z,-0.1147,-0.4109,0.9867,2.9400,-14.1400,27.7200
6072113,z,-0.1152,-0.4187,0.9819,-1.8200,-14.4900,27.8600
6072123,z,-0.1210,-0.4168,0.9770,-4.9000,-14.7000,25.2000
6072131,z,-0.1225,-0.4148,0.9697,-5.1100,-15.1200,20.5100
6072141,z,-0.1205,-0.4094,0.9667,-4.9000,-15.5400,15.4000
6072151,z,-0.1108,-0.4036,0.9599,-4.7600,-16.0300,11.5500
6072161,z,-0.1005,-0.3938,0.9521,-3.1500,-16.5900,9.3100
6072170,z,-0.1074,-0.3850,0.9579,-1.2600,-17.2900,8.4000
6072180,z,-0.1191,-0.3884,0.9633,0.5600,-17.2200,8.6800
6072190,z,-0.1137,-0.3826,0.9643,4.6200,-16.1700,8.9600
6072199,z,-0.1118,-0.3645,0.9677,7.0700,-14.7000,8.6100
6072208,z,-0.1210,-0.3479,0.9672,7.5600,-13.3700,7.4900
6072218,z,-0.1235,-0.3318,0.9677,6.1600,-12.8800,6.2300
